response,context,context/0
Not with commentary.,We already watched the Season Two DVDs.,No. Were going to start Season Two of Battlestar Galactica.
We never invited Louis-slash-Louise over.,"I think we should be good neighbours, invite her over, make her feel welcome.",Not with commentary.
I have a very wide circle. I have 212 friends on myspace.,"Well, then that was wrong of us. We need to widen our circle.",We never invited Louis-slash-Louise over.
Thats the beauty of it.,"Yes, and youve never met one of them.",I have a very wide circle. I have 212 friends on myspace.
Chat? We dont chat. At least not offline.,Im going to invite her over. Well have a nice meal and chat.,Thats the beauty of it.
To what end?,"Well its not difficult, you just listen to what she says and then you say something appropriate in response.",Chat? We dont chat. At least not offline.
Hi.,Hi.,Hi. Again.
"Leonard, Im not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements.","Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when Im undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I dont have to tell you that, uh, a clean colon is just one less thing to worry about.",Hi.
"Well, today we tried masturbating for money.","So, what do you guys do for fun around here?",Great.
Actually thats my work.,"This looks like some serious stuff, Leonard, did you do this?",Youre very welcome.
"Yeah, well, its just some quantum mechanics, with a little string theory doodling around the edges. That part there, thats just a joke, its a spoof of the Bourne-Oppenheimer approximation.",Wow.,Actually thats my work.
Yeah.,"So youre like, one of those, beautiful mind genius guys.","Yeah, well, its just some quantum mechanics, with a little string theory doodling around the edges. That part there, thats just a joke, its a spoof of the Bourne-Oppenheimer approximation."
"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any mens room at MIT, sure.",Holy smokes.,"I have a board. If you like boards, this is my board."
"Oh, come on. Who hasnt seen this differential below here I sit broken hearted?",What?,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any mens room at MIT, sure."
"I didnt invent them, theyre there.",At least I didnt have to invent twenty-six dimensions just to make the math come out.,"Oh, come on. Who hasnt seen this differential below here I sit broken hearted?"
"In all of them, that is the point.",In what universe?,"I didnt invent them, theyre there."
"Um, Penny, thats where I sit.","Uh, do you guys mind if I start?","In all of them, that is the point."
"No, I sit there.","So, sit next to me.","Um, Penny, thats where I sit."
Whats the difference?,Whats the difference?,"No, I sit there."
"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer its directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think Ive made my point.",Here we go.,Whats the difference?
Well.,Do you want me to move?,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer its directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think Ive made my point."
Fine.,Just sit somewhere else.,Well.
Aaah!,"Sheldon, sit!",Fine.
Thats not true. Koothrapali and Wolowitz come over all the time.,Well this is nice. We dont have a lot of company over.,Aaah!
Tuesday night we played Klingon boggle until one in the morning.,"Yes I now, but",Thats not true. Koothrapali and Wolowitz come over all the time.
I resent you saying we dont have company.,"Yes, I remember.",Tuesday night we played Klingon boggle until one in the morning.
That is an antisocial implication.,Im sorry.,I resent you saying we dont have company.
"Yes, it tells us that you participate in the mass cultural delusion that the Suns apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality.","Um, me, okay, Im Sagittarius, which probably tells you way more than you need to know.","Yeah, its like regular boggle but, in Klingon. Thats probably enough about us, tell us about you."
Thats interesting. Leonard cant process corn.,"Oh, yeah, a lot of people think Im a water sign. Okay, lets see, what else, oh, Im a vegetarian, oh, except for fish, and the occasional steak, I love steak.","I think what Sheldons trying to say, is that Sagittarius wouldnt have been our first guess."
Youre lactose intolerant.,"Oh, okay. I love cheesecake.","Oh, yeah, Im a waitress at the Cheesecake Factory."
Whats happening.,It was. Until I fell in love with a jerk.,Well it sounds wonderful.
It took you four years to get through High School?,"Oh God, you know, four years I lived with him, four years, thats like as long as High School.",I dont know.
"You? No, youll only make it worse.",Should I say something? I feel like I should say something.,"I just, I cant believe I trusted him."
Yes.,"You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?","You? No, youll only make it worse."
Yes.,Really? Would it be totally weird if I used it?,Our shower works.
No?,No.,Yes.
No.,No.,No?
Well this is an interesting development.,Thanks. You guys are really sweet.,Its right down the hall.
It has been some time since weve had a woman take her clothes off in our apartment.,How so?,Well this is an interesting development.
Point taken. It has been some time since weve had a woman take her clothes off after which we didnt want to rip our eyes out.,"Thats not true, remember at Thanksgiving my grandmother with Alzheimers had that episode.",It has been some time since weve had a woman take her clothes off in our apartment.
"So, what exactly are you trying to accomplish here?",The worst part was watching her carve that turkey.,Point taken. It has been some time since weve had a woman take her clothes off after which we didnt want to rip our eyes out.
That woman in theres not going to have sex with you.,Excuse me?,"So, what exactly are you trying to accomplish here?"
"Oh, good. Then you wont be disappointed.",Well Im not trying to have sex with her.,That woman in theres not going to have sex with you.
"Yes, but not of the same species.","What makes you think she wouldnt have sex with me, Im a male and shes a female?","Oh, good. Then you wont be disappointed."
"Oh, of course.","Im not going to engage in hypotheticals here, Im just trying to be a good neighbour.","Yes, but not of the same species."
Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?,Thats not to say that if a carnal relationship were to develop that I wouldnt participate. However briefly.,"Oh, of course."
Leonard has a lady over.,Its just not a good time.,Why?
Technically that would be coitus interruptus.,Can we please stop saying coitus?,So shes available for coitus?
I really think we should examine the chain of causality here.,Wow.,Its just not the kind of thing you ask a guy youve just met.
"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned womans ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?",Must we?,I really think we should examine the chain of causality here.
"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause.","She asked me to do her a favour, Sheldon.","Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned womans ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
You think with your penis.,Which is?,"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause."
"Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why cant she get her own TV.",Thats a biological impossibility and you didnt have to come.,You think with your penis.
No I dont. And neither do you.,"Come on, you know how it is with break-ups.","Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why cant she get her own TV."
"You did not break up with Joyce Kim, she defected to North Korea.","Wuh, I, I broke up with Joyce Kim.",No I dont. And neither do you.
So we get to have a scene with him?,To mend her broken heart. This situation is much less complicated. Theres some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.,"You did not break up with Joyce Kim, she defected to North Korea."
"Leonard, the two of us cant even carry a TV.","No, Sheldon, theres not going to be a scene. Theres two of us and one of him.",So we get to have a scene with him?
Hello.,"Hi, Im Leonard, this is Sheldon.",Yeah.
"Okay, thanks for your time.",Get lost.,"What did I just. Uh, were here to pick up Pennys TV."
"Leonard, the TV is in the building, weve been denied access to the building, ergo we are done.",Were not going to give up just like that.,"Okay, thanks for your time."
My apologies. Whats your plan.,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang.","Leonard, the TV is in the building, weve been denied access to the building, ergo we are done."
Its just a privilege to watch your mind at work.,My apologies. Whats your plan.,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
What do you think their combined IQ is?,"Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building.",Its just a privilege to watch your mind at work.
"Good thinking, Ill just be the muscle.",This is it.  Ill do the talking.,Just grab the door.
From the intercom.,"Im Leonard, this is Sheldon.",Yeah?
Tell him about our IQ.,Oh. Were scientists.,How the hell did you get in the building?
Leonard.,Tell him about our IQ.,Oh. Were scientists.
My mom bought me those pants.,What?,Leonard.
Youre going to have to call her.,Im sorry.,My mom bought me those pants.
"Its okay. It wasnt my first pantsing, and it wont be my last.","Sheldon, Im so sorry I dragged you through this.",Youre going to have to call her.
Well you got me out of my pants.,"And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex.","Its okay. It wasnt my first pantsing, and it wont be my last."
"Dont think like that, youre not going to die alone.","Anyway, Ive learned my lesson. Shes out of my league, Im done with her, Ive got my work, one day Ill win the Nobel Prize and then Ill die alone.",Well you got me out of my pants.
And youre certainly not going to win a Nobel Prize.,"Thank you Sheldon, youre a good friend.","Dont think like that, youre not going to die alone."
That was a valid hypothesis? What is happening to you?,"No, it was a valid hypothesis.","Im so sorry, I really thought if you guys went instead of me he wouldnt be such an ass."
"Thank you. Youre not done with her, are you?",Really? Great.,"Really, thank you so much for going and trying youre, uh, youre so terrific. Why dont you put some clothes on, Ill get my purse and dinner is on me, okay?"
Not to mention imaginary.,Our babies will be smart and beautiful.,"Thank you. Youre not done with her, are you?"
"We cant have Thai food, we had Indian for lunch.",Sure.,Is Thai food okay with you Penny?
Theyre both curry based cuisines.,So?,"We cant have Thai food, we had Indian for lunch."
They would be gastronomically redundant. I can see were going to have to spell out everything for this girl.,So?,Theyre both curry based cuisines.
"I dont know what your odds are in the world as a whole, but as far as the population of this car goes, youre a veritable Mack Daddy.","Baby, baby dont get hooked on me. Uh, baby, baby dont get hooked on me.",That sounds like fun.
"Since its not bee season, you can have my epinephrine.","Uh, Im not sure, everyone keep an eye on Howard in case he starts to swell up.",But does it have peanut oil?
"You dont need chopsticks, this is Thai food.",Are there any chopsticks?,"Since its not bee season, you can have my epinephrine."
"Thailand has had the fork since the latter half of the nineteenth century. Interestingly they dont actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth.",Here we go.,"You dont need chopsticks, this is Thai food."
"Youre not swelling, Howard.",No.,Am I interrupting.
Hi.,"Yeah, I probably wont, but Hey Sheldon.",Get used to it.
"Dont take it personally, its his pathology, he cant talk to women.","Hey Raj!  Still not talking to me, huh?",Hi.
"Youre kidding, right?","A marathon? Wow, how many Superman movies are there?","Um, if you dont have any other plans, do you want to join us for Thai food and a Superman movie marathon?"
One. .,"Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that?","Youre kidding, right?"
You realise that scene was rife with scientific inaccuracy.,One. .,"Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that?"
"Oh no, lets assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces.","Yes, I know, men cant fly.",You realise that scene was rife with scientific inaccuracy.
"In what space, sir, in what space? Shes two feet above the ground. Frankly, if he really loved her, hed let her hit the pavement. It would be a more merciful death.","Unless, Superman matches her speed and decelerates.","Oh no, lets assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces."
"Are you listening to yourself, it is well established that Supermans flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earths yellow Sun.","Excuse me, your entire argument is predicated on the assumption that Supermans flight is a feat of strength.","In what space, sir, in what space? Shes two feet above the ground. Frankly, if he really loved her, hed let her hit the pavement. It would be a more merciful death."
"Uh, a combination of the moons solar reflection and the energy storage capacity of Kryptonian skin cells.","Yeah, and you dont have a problem with that, how does he fly at night.","Are you listening to yourself, it is well established that Supermans flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earths yellow Sun."
Challenge accepted.  Were locked out.,"I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells.",Im just going to go wash up.
I hardly think so.,"Okay, her apartments on the fourth floor but the elevators broken so youre going to have to  oh, youre just going to be done, okay, cool, thanks. I guess well just bring it up ourselves.","Also, the pretty girl left."
"Well, we dont have a dolly, or lifting belts, or any measurable upper body strength.",Why not?,I hardly think so.
Archimedes would be so proud.,"We dont need strength, were physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, its just a matter  I dont have this I dont have this I dont have this.","Well, we dont have a dolly, or lifting belts, or any measurable upper body strength."
"Yes, but they all involve a green lantern and a power ring.",Do you have any ideas?,Archimedes would be so proud.
Exactly half.,"Easy, easy  Okay! Now weve got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half.","Yes, but they all involve a green lantern and a power ring."
Whats your formula for the corner.,"Exactly half. Lets push. Okay, see, its moving, this is easy, all in the math.",Exactly half.
"Ah, gravity, thou art a heartless bitch.","What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn.",Whats your formula for the corner.
You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?,"Ah, gravity, thou art a heartless bitch.","What? Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn."
"Yeah, those are men who just had sex.",Men do things for women without expecting sex.,You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?
"No were not, no were not, no were not.","Almost there, almost there, almost there.","Im doing this to be a good neighbour. In any case, theres no way it could lower the odds."
"Watch your fingers. Watch your fingers. Oh God, my fingers!","No were not, no were not, no were not.","Almost there, almost there, almost there."
"No, it hurt  Great Caesars Ghost, look at this place?",You okay?,"Watch your fingers. Watch your fingers. Oh God, my fingers!"
"A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. Im just inferring that this is a couch, because the evidence suggests the coffee tables having a tiny garage sale.",So Pennys a little messy.,"No, it hurt  Great Caesars Ghost, look at this place?"
No.,"Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?","A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. Im just inferring that this is a couch, because the evidence suggests the coffee tables having a tiny garage sale."
"Excuse me, but I think weve both found that helpful at times.","Well they dont. Hard as it may be for you to believe, most people dont sort their breakfast cereal numerically by fibre content.",No.
Hang on.,"Come on, we should go.","Excuse me, but I think weve both found that helpful at times."
Straightening up.,What are you doing?,Hang on.
"This is not anyones home, this is a swirling vortex of entropy.","Sheldon, this is not your home.",Straightening up.
"Because it was immaculate, I mean, you open that mans closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms.","When the transvestite lived here, you didnt care how he kept the place.","This is not anyones home, this is a swirling vortex of entropy."
I helped run some cable for a webcam.,What were you doing in his closet?,"Because it was immaculate, I mean, you open that mans closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms."
No?,No.,Great. Was it hard getting it up the stairs?
No.,No.,No?
"Penny, I just want you to know that, you dont have to live like this. Im here for you.","Oh, great, thank you again .","Well, well get out of your hair."
Sssshhhh! Pennys sleeping.,Sheldon!,Sheldon? Hello?
"I had no choice. I couldnt sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was this.","Are you insane, you cant just break into a womans apartment in the middle of the night and clean.",Sssshhhh! Pennys sleeping.
I just gave you a reasonable explanation.,"Do you realise that if Penny wakes up, there is no reasonable explanation as to why were here?","I had no choice. I couldnt sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway was this."
Dont be ridiculous. I have no peers.,"No, no. You gave me an explanation, its reasonableness will be determined by a jury of your peers.",I just gave you a reasonable explanation.
You might want to speak in a lower register.,"Sheldon, we have to get out of here.",Dont be ridiculous. I have no peers.
"Evolution has made women sensitive to high pitched noises while they sleep, so that theyll be roused by a crying baby. If you want to avoid waking her, speak in a lower register.",What?,You might want to speak in a lower register.
"No,  thats ridiculous.",Thats ridiculous.,"Evolution has made women sensitive to high pitched noises while they sleep, so that theyll be roused by a crying baby. If you want to avoid waking her, speak in a lower register."
I am not leaving until Im done.,"Fine. I accept your premise, now please lets go.","No,  thats ridiculous."
"If you have time to lean, you have time to clean.",O-o-o-oh! .,I am not leaving until Im done.
Morning.,"Oh, what the hell.","If you have time to lean, you have time to clean."
"I have to say, I slept splendidly. Granted, not long, but just deeply and well.",Morning.,Morning.
Sarcasm?,Im not surprised. A well known folk cure for insomnia is to break into your neighbours apartment and clean.,"I have to say, I slept splendidly. Granted, not long, but just deeply and well."
"Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Pennys quality of life.",You think?,Sarcasm?
You dont think that crosses a line?,"You know what, youve convinced me, maybe tonight we should sneak in and shampoo her carpet.","Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Pennys quality of life."
You have a sarcasm sign?,"Yes! For Gods sake, Sheldon, do I have to hold up a sarcasm sign every time I open my mouth.",You dont think that crosses a line?
"Do you want some cereal. Im feeling so good today Im going to choose from the low fibre end of the shelf. Hello, Honey Puffs.","No, I do not have a sarcasm sign.",You have a sarcasm sign?
I may have left a suggested organisational schematic for her bedroom closet.,How did she know it was us?,"You sick, geeky bastards!"
"Goodbye, Honey Puffs, hello Big Bran.","God, this is going to be bad.",Leonard!
"Really more to organise, youre not actually dirty, per se.","Yes, but, only to clean.",You came into my apartment last night when I was sleeping?
"And snoring. And thats probably just a sinus infection, but it could be sleep apnoea, you might want to see an otolaryngologist. Its a throat doctor.","In my apartment, while I was sleeping.","Oh, yes, we discussed it at length last night."
"Depending on the depth, thats either a proctologist or a general surgeon.  Oh!",And what kind of doctor removes shoes from asses?,"And snoring. And thats probably just a sinus infection, but it could be sleep apnoea, you might want to see an otolaryngologist. Its a throat doctor."
"Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm.  Well that was a little non-responsive.","Sure, thats another way to go.",Stay away from me.
That wasnt sarcasm?,You are going to march yourself over there right now and apologise.  Whats funny?,"Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm.  Well that was a little non-responsive."
"Wooh, boy, you are all over the place this morning.  I have a masters and two PhDs, I should not have to do this.",No.,That wasnt sarcasm?
"I am truly sorry for what happened last night, I take full responsibility. And I hope that it wont colour your opinion of Leonard, who is not only a wonderful guy, but also, I hear, a gentle and thorough lover.  I did what I could.",What?,"Wooh, boy, you are all over the place this morning.  I have a masters and two PhDs, I should not have to do this."
His imaginary girlfriend broke up with him.,Whats his problem?,Its fine. You win.
Check.,Six two inch dowels.,Yeah.
Check.,"One package, Phillips head screws.",Check.
Considering what? How great this place looks?,"No, please, we insist, its the least we can do considering.","Guys, seriously, I grew up on a farm, okay, I rebuilt a tractor engine when I was like twelve, I think I can put together a cheap Swedish media centre."
We could put her stereo back there.,"It is an inefficient design, for example Penny has a flat screen TV, which means all the space behind it is wasted.","Well, uh, it looked pretty good in the store."
"Run an infra-red repeater, photocell here, emitter here, easy peasy.",And control it how?,We could put her stereo back there.
"Hang on Penny. How about fans, here and here?","Hey guys, I got this.","Good point, how you gonna cool it?"
And if water is involved were going to have to ground the crap out of the thing.,"Oh, really, show me where we put a drip tray, a sluice and an overflow reservoir?","Hold on, honey, men at work. The PVC comes down here, maybe a little corrugated sheet metal as a radiator here."
"Right, then the entire things one big heat sink.","Oh, Ive got it. How about if we replace panels A, B and F and crossbar H with aircraft grade aluminium.","Guys, its hot in here, I think Ill just take off all my clothes."
Good lord!,"Alright, just a few more feet, and. here we are gentlemen, the Gates of Elzebub.",Robert Cohen  Dave Goetsch
Lock and load.,"Warriors, unsheathe your weapons, magic wielders raise your wands.","Stay frosty, theres a horde of armed goblins on the other side of that gate guarding the Sword of Azeroth."
Ive got the Sword of Azeroth!,"Sheldon, hes got Raj, use your sleath spell. Sheldon! Sheldon!","Oooh, hes got me."
"There is no more Sheldon, I am the Swordmaster!","Forget the sword, Sheldon, help Raj.",Ive got the Sword of Azeroth!
"Goodbye, peasants.","Dammit man, were dying here.",Leonard look out!
"Im a rogue knight elf, dont you people read character descriptions? Wait, wait, wait, somebody just clicked buy it now.","You betrayed us for money, who are you?",Hes selling the Sword of Azeroth on ebay.
"Wooh, Im all sweaty, anybody want to log on to second life and go swimming, I just built a virtual pool.",I am the Swordmaster!,"Im a rogue knight elf, dont you people read character descriptions? Wait, wait, wait, somebody just clicked buy it now."
Dont forget the mail you took accidentally on purpose so youd have an excuse to talk to her.,Excuse me.,Sounds like your neighbours home.
Penny for your thoughts.,"No problem. Bye. Oh, and, bye, bro! .","Okay, well, thank you, again."
Please dont tell me that your hopeless infatuation is devolving into pointless jealousy.,Im a romantic.,What is wrong with you?
"Well, at least now you can retrieve the black box from the twisted smouldering wreckage that was once your fantasy of dating her, and analyse the data so that you dont crash into geek mountain again.",Yeah. He was kinda dreamy.,Because he looked better than you?
The dietician at the cafeteria with the limp and the lazy eye?,I dont know. Olivia Geiger?,Like who?
"Well, I dont think you have a shot there. I have noticed that Lesley Winkle recently started shaving her legs. Now, given that winter is coming one can only assume that she is signalling sexual availability.",Yeah.,The dietician at the cafeteria with the limp and the lazy eye?
"That depends. When I learn that Im a robot, will I be able to handle it?","Sheldon, if you were a robot, and I knew and you didnt, would you want me to tell you?",None at all?
"Uh, let me ask you this. When I learn that Im a robot, would I be bound by Asimovs three laws of robotics?","Maybe, although the history of science-fiction is not on your side.","That depends. When I learn that Im a robot, will I be able to handle it?"
Of course not.,"Thats true. Have you ever harmed a human being, or through inaction allowed a human being to come to harm?",You might be bound by them right now.
"Well, no.","Have you ever harmed yourself, or allowed yourself to be harmed except in cases where a human being would have been endangered?",Of course not.
The internets been down for half an hour.,"Hey, whats going on.",I smell robot.
"Oh, Ive seen that look before. This is just going to be two weeks of moping and tedious emo songs, and calling me to come down to pet stores to look at cats. I dont know if I can take it.","Oh, we tried kissing, but the earth didnt move. I mean any more than the 383 miles that it was going to move anyway.","So, how did it go with Lesley?"
"Oh, good lord.","I think Mrs Tishmans got her eye on you. Ive been there, youre in for a treat.","Remember the Latin hips. Shoulders stay still, and we sway. One two three. Five six seven."
"If youre compiling a mix CD for a double suicide.  Oh, I hope that scratching post is for you.","You dont know me, you dont wear my chains God, thats a good song.","Oh, good lord."
"Leonard, listen to me","I know what youre thinking, Ive taken your asthma into account. Theres a feline geneticist in San Diego who has developed the cutest little hypo-allergenic calicos.","If youre compiling a mix CD for a double suicide.  Oh, I hope that scratching post is for you."
"Leonard, do you really think you can satisfy your need for a relationship with a genetically altered cat?","Ive been thinking about names, Im kind of torn between Einstein, Newton and Sergeant Fuzzyboots.","Leonard, listen to me"
"Oh, come on, Leonard! This is obviously about Penny.","Maybe, if its a cute little cuddly cat.","Leonard, do you really think you can satisfy your need for a relationship with a genetically altered cat?"
"Okay, look, I think that you have as much of a chance of having a sexual relationship with Penny as the Hubble Telescope does of discovering at the centre of every black hole is a little man with a flashlight searching for a circuit breaker. Nevertheless, I do feel obligated to point out to you that she did no reject you. You did not ask her out.","It doesnt matter. The womans not interested in me, the woman rejected me.","Oh, come on, Leonard! This is obviously about Penny."
"No. No, now that was not my point. My point was, dont buy a cat.","Youre right. I didnt ask her out, I should ask her out.","Okay, look, I think that you have as much of a chance of having a sexual relationship with Penny as the Hubble Telescope does of discovering at the centre of every black hole is a little man with a flashlight searching for a circuit breaker. Nevertheless, I do feel obligated to point out to you that she did no reject you. You did not ask her out."
"Oh, goody, were getting a cat.","No, but youre right. I should march over there and ask her out.","No. No, now that was not my point. My point was, dont buy a cat."
Could you be more specific?,How do I look?,"To carve the okay, Ill see you six thirty."
No. The dark crescent-shaped patterns under your arms conceal it nicely. What time is your date?,Can you tell Im perspiring a little?,Could you be more specific?
"Perfect, that gives you two hours and fifteen minutes for that dense molecular cloud of Aramis to dissipate.",Six thirty.,No. The dark crescent-shaped patterns under your arms conceal it nicely. What time is your date?
Not if youre a rugby team.,Is it too much?,"Perfect, that gives you two hours and fifteen minutes for that dense molecular cloud of Aramis to dissipate."
Why would I join you?,"By the way, if it should ever come up, you didnt join us because you stuffed yourself with a chicken carbonara sub at Quizznos.",Not if youre a rugby team.
"Oh, no, no, no, well now, theres always the possibility that alcohol and poor judgement on her part might lead to a nice romantic evening.","No reason. Oh, you know what, maybe this isnt such a good idea.",Why would I join you?
"Of course, theres the other possibility that this date kicks off a rather unpleasant six months of the two of you passing awkwardly in the hall until one of you breaks down and moves to another zip code.","Youre right, alcohol, poor judgement, it could go well.","Oh, no, no, no, well now, theres always the possibility that alcohol and poor judgement on her part might lead to a nice romantic evening."
"If I could of, I would of.",You could have stopped at it could go well.,"Of course, theres the other possibility that this date kicks off a rather unpleasant six months of the two of you passing awkwardly in the hall until one of you breaks down and moves to another zip code."
