response,context/0,context/1,context/2,context/3,context/4
Delivery boy? No! Not again! Please! Anything else!,Your permanent career assignment.,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. What's that?",Eurgh!,Professor Hubert Farnsworth.,That's great! What's the little guy's name?
What if I refuse?,Take your hands off me! You've been assigned the job you're best at just like everyone else.,Delivery boy? No! Not again! Please! Anything else!,Your permanent career assignment.,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. What's that?",Eurgh!
Fine!,Then you'll be fired...,What if I refuse?,Take your hands off me! You've been assigned the job you're best at just like everyone else.,Delivery boy? No! Not again! Please! Anything else!,Your permanent career assignment.
But I don't like being a delivery boy.,...out of a cannon into the Sun!,Fine!,Then you'll be fired...,What if I refuse?,Take your hands off me! You've been assigned the job you're best at just like everyone else.
Keep that thing away from me!,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy.",But I don't like being a delivery boy.,...out of a cannon into the Sun!,Fine!,Then you'll be fired...
See you in a thousand years! You owe me one.,"Hold still, damnit. I don't have good depth perception! You've got until the count of five to let me out of here. One...",Keep that thing away from me!,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy.",But I don't like being a delivery boy.,...out of a cannon into the Sun!
Whoa!,See you in a thousand years! You owe me one.,"Hold still, damnit. I don't have good depth perception! You've got until the count of five to let me out of here. One...",Keep that thing away from me!,"Well that's tough! Lots of people don't like their jobs but we do them anyway. You gotta do what you gotta do! Now hold out your hand, I'm gonna implant your career chip. It'll permanently label you as a delivery boy.",But I don't like being a delivery boy.
Cool! Um. Cross Town Express?,JFK Jr. Airport.,Whoa!,See you in a thousand years! You owe me one.,"Hold still, damnit. I don't have good depth perception! You've got until the count of five to let me out of here. One...",Keep that thing away from me!
"Hey! A phone booth! I can call my nephew. Wow, a real live robot! Or is that some kind of cheesy New Year's costume?",Pft! Tourist!,Cool! Um. Cross Town Express?,JFK Jr. Airport.,Whoa!,See you in a thousand years! You owe me one.
It doesn't look so shiny to me.,Bite my shiny metal ass.,"Hey! A phone booth! I can call my nephew. Wow, a real live robot! Or is that some kind of cheesy New Year's costume?",Pft! Tourist!,Cool! Um. Cross Town Express?,JFK Jr. Airport.
"Yeah, I'd like to place a collect call.",Please select mode of death: Quick And Painless or Slow And Horrible.,"Listen, buddy, I'm in a hurry here. Let's try for a twofer!","Shinier than yours, meatbag!",It doesn't look so shiny to me.,Bite my shiny metal ass.
Help! What's happening?,"C'mon, c'mon! Kill me already! By the way, my name's Bender!","Great choice! Bring it on, baby!",You have selected: Slow And Horrible.,"Yeah, I'd like to place a collect call.",Please select mode of death: Quick And Painless or Slow And Horrible.
Why would a robot need to drink?,"Well that's your job, whether you like it or not and it's my job to make you do your job whether I like it or not - which I do - very much! Now get to work! Life is good!","Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.","This is unacceptable, Leela. You must find this Mr. Fry and install his chip.","Shut up, Terry.",Welcome to the world of tomorrow!
Really? What do you do Bender?,"I don't need to drink, I can quit anytime I want! So they made you a delivery boy, huh? Man, that's as bad as my job.",Why would a robot need to drink?,"Well that's your job, whether you like it or not and it's my job to make you do your job whether I like it or not - which I do - very much! Now get to work! Life is good!","Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.","This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
You any good at it?,"I'm a bender. I bend girders, that's all I'm programmed to do.",Really? What do you do Bender?,"I don't need to drink, I can quit anytime I want! So they made you a delivery boy, huh? Man, that's as bad as my job.",Why would a robot need to drink?,"Well that's your job, whether you like it or not and it's my job to make you do your job whether I like it or not - which I do - very much! Now get to work! Life is good!"
What?,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! But I couldn't go on living once I found out what the girders were for.",You any good at it?,"I'm a bender. I bend girders, that's all I'm programmed to do.",Really? What do you do Bender?,"I don't need to drink, I can quit anytime I want! So they made you a delivery boy, huh? Man, that's as bad as my job."
Wait! You're the only friend I have!,"Suicide booths! Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself.",What?,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! But I couldn't go on living once I found out what the girders were for.",You any good at it?,"I'm a bender. I bend girders, that's all I'm programmed to do."
"Yeah, ever since I was six.",You really want a robot for a friend?,Wait! You're the only friend I have!,"Suicide booths! Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself.",What?,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! But I couldn't go on living once I found out what the girders were for."
"Oh, no, it's the Cyclops! Don't look! Don't look!","Well, OK. But I don't want people thinking we're robo-sexuals, so if anyone asks, you're my debugger.","Yeah, ever since I was six.",You really want a robot for a friend?,Wait! You're the only friend I have!,"Suicide booths! Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself."
Spock? Hey! Do the thing!,Welcome to the Head Museum. I'm Leonard Nimoy.,"We can hide in here, it's free on Tuesdays.",We'll be there in five minutes.,This is officer 1B-DI requesting back-up.,I'm not looking!
This is unbelievable! What do you heads do all day?,I don't do that anymore.,Spock? Hey! Do the thing!,Welcome to the Head Museum. I'm Leonard Nimoy.,"We can hide in here, it's free on Tuesdays.",We'll be there in five minutes.
"Yeah, well, if you're sorry why are you doing it?","I'm sorry, Fry, but I have to install your career chip.",Hmm.,LEELA,Feeding time!,We share our wisdom with those who seek it. It's a life of quiet dignity.
Ow! Stoppit! Down boy! Bad president!,That's it! You just made my list!,Watch it!,It's my job. You gotta do what you gotta do!,"Yeah, well, if you're sorry why are you doing it?","I'm sorry, Fry, but I have to install your career chip."
"Wait a second. You're a bender, right? We can get out of here if you just bend the bars.","Oh, we're trapped!","Yeah, you know the law: You gotta do what you gotta do.",It's our job. We're peace officers.,You guys were totally out of control.,Damn!
Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?","Wait a second. You're a bender, right? We can get out of here if you just bend the bars.","Oh, we're trapped!","Yeah, you know the law: You gotta do what you gotta do.",It's our job. We're peace officers.
"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots.",Open up!,I'll have to check my program...yep.,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?","Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
"Come on, Bender! You can do it.","You're full of crap, Fry! You make a persuasive argument, Fry.","C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots.",Open up!,I'll have to check my program...yep.,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
Yes!,Can't...I...can't...do...it!,"Come on, Bender! You can do it.","You're full of crap, Fry! You make a persuasive argument, Fry.","C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots.",Open up!
I don't know how you did that.,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!",Yes!,Can't...I...can't...do...it!,"Come on, Bender! You can do it.","You're full of crap, Fry! You make a persuasive argument, Fry."
Good Lord! What is this?,Looks like one of us will have to bend this grate.,"No, thanks.",Wait!,I don't know how you did that.,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!"
"Its my old neighbourhood. Man, this brings back a lot of memories.","It's the decaying ruins of Old New York. Welcome home, pal!",Good Lord! What is this?,Looks like one of us will have to bend this grate.,"No, thanks.",Wait!
This is where I brought my girlfriend on our very first date.,"Keep 'em to yourself, pops.","Its my old neighbourhood. Man, this brings back a lot of memories.","It's the decaying ruins of Old New York. Welcome home, pal!",Good Lord! What is this?,Looks like one of us will have to bend this grate.
My God! She's gone. Everyone I ever knew or cared about is gone.,This is where I brought my girlfriend on our very first date.,"Keep 'em to yourself, pops.","Its my old neighbourhood. Man, this brings back a lot of memories.","It's the decaying ruins of Old New York. Welcome home, pal!",Good Lord! What is this?
"Oh, can't you leave me alone? I'm miserable enough already.",Wait! There's someone you know!,My God! She's gone. Everyone I ever knew or cared about is gone.,This is where I brought my girlfriend on our very first date.,"Keep 'em to yourself, pops.","Its my old neighbourhood. Man, this brings back a lot of memories."
"No, you don't. I've got no home, no family...","Look, I know it's not much consolation but I understand how you feel.","Oh, can't you leave me alone? I'm miserable enough already.",Wait! There's someone you know!,My God! She's gone. Everyone I ever knew or cared about is gone.,This is where I brought my girlfriend on our very first date.
...My whole world is gone. You can't possibly understand what it feels like to be so alone.,No friends.,"No, you don't. I've got no home, no family...","Look, I know it's not much consolation but I understand how you feel.","Oh, can't you leave me alone? I'm miserable enough already.",Wait! There's someone you know!
"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. Your chip. What are you doing?",I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,...My whole world is gone. You can't possibly understand what it feels like to be so alone.,No friends.,"No, you don't. I've got no home, no family...","Look, I know it's not much consolation but I understand how you feel."
Why?,Quitting.,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. Your chip. What are you doing?",I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,...My whole world is gone. You can't possibly understand what it feels like to be so alone.,No friends.
What is the matter with you?,Because I've always wanted to. I just never realised it before I met you.,Why?,Quitting.,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. Your chip. What are you doing?",I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
Correction. We're unemployed but we have a doddering old relative to mooch off of.,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,"Sorry. Well, that solves the mystery of the missing ring. This calls for a drink.","Hey, he stole my ring!",I just wanted to be part of the moment.,What is the matter with you?
I'm your dear old Uncle Fry.,Who are you?,"Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!",Correction. We're unemployed but we have a doddering old relative to mooch off of.,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,"Sorry. Well, that solves the mystery of the missing ring. This calls for a drink."
Whoa! A real live spaceship!,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.,"Oh, my, no.",Can we have some money?,"By God, I am your nephew! This is absolutely incredible!",You do now!
No!,"Attention, job deserters! Come out with your hands up. We have you partially surrounded.",I designed it myself. Let me show you some of the different lengths of wire I used.,Whoa! A real live spaceship!,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.,"Oh, my, no."
I'll get us out of here.,I suppose it is technically possible. Though I am already in my pyjamas.,Can't we get away in the ship?,"Well, we're boned!",Get those bums!,No!
Blast-off!,One!,Two.,Three.,Four.,Five!
"So I guess without jobs, we'll be fugitives forever.",I can't see nothing. Pretty though!,Fire! Fire!,Blast-off!,One!,Two.
Yes! Yes! That's exactly the job I've always wanted!,Of those poor sons of -- but that's not important. The important thing is I need a new crew. Anyone interested?,New crew? W-What happened to the old crew?,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?","So I guess without jobs, we'll be fugitives forever.",I can't see nothing. Pretty though!
This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew.","Thanks for the offer, Professor, but we don't have the proper career chips.",Yes! Yes! That's exactly the job I've always wanted!,Of those poor sons of -- but that's not important. The important thing is I need a new crew. Anyone interested?,New crew? W-What happened to the old crew?
Cool! What's my job gonna be?,If by that you mean transporting cargo then yes. It's a little home business I started to fund my research.,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew.","Thanks for the offer, Professor, but we don't have the proper career chips.",Yes! Yes! That's exactly the job I've always wanted!
"So, I'm gonna be a delivery boy?",You will be responsible for ensuring that the cargo reaches its destination.,Cool! What's my job gonna be?,If by that you mean transporting cargo then yes. It's a little home business I started to fund my research.,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew."
Alright! I'm a delivery boy!,Exactly!,"So, I'm gonna be a delivery boy?",You will be responsible for ensuring that the cargo reaches its destination.,Cool! What's my job gonna be?,If by that you mean transporting cargo then yes. It's a little home business I started to fund my research.
Wow!,As new employees I'd like your opinion on our commercial. I paid to have it air during the Superbowl.,"By Ken Keeler Transcribed by Dave, The Neutral Planet",FUTURAMA,Alright! I'm a delivery boy!,Exactly!
Are there really giant birds like that?,Planet Express: Our crew is replaceable. Your package isn't.,"Thank you, sir!","Here's your package, Mr. Horrible Gelatinous Blob.","When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.",Uh... I'm not Evans!
I'm never going to get used to the 31st century. Caffinated bacon? Baconated grapefruit? Admiral Crunch?,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.",Are there really giant birds like that?,Planet Express: Our crew is replaceable. Your package isn't.,"Thank you, sir!","Here's your package, Mr. Horrible Gelatinous Blob."
Hi -- eurgh!,"Now Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little unusual. He wears sandals!",Sign the paper!,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible.","Oh, you don't want that!",Death by sonic diarrhoea?
I only have one.,Now open your mouth and let's have a look at that brain. No no no no no not that mouth!,You'll be fine.,"Excellent, excellent!","Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.",Hi -- eurgh!
"Uh, is there a human doctor around?",Really?,I only have one.,Now open your mouth and let's have a look at that brain. No no no no no not that mouth!,You'll be fine.,"Excellent, excellent!"
"Well, the doctor says I'm as healthy as a crab. Can I go into space now?",A little.,Ow!,OK. Does it hurt when I go like this?,"Amy, why don't you give his body a going over with the cleaning pick?","Yeah, like you don't have crap in your neck!"
Last time I checked.,"Hey! You're the unfrozen guy! From the 20th century, right?","As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me.","Well, the doctor says I'm as healthy as a crab. Can I go into space now?",A little.,Ow!
"Finally! Come on Bender, let's mosey!","Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver.","Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. La la la look at my head. It's all painted look at my head! I got a big old head, hey! Ho! Alright, show's over, I'm tired.",Kappa Kappa Wong.,Uh-huh! What sorority do you belong to?,Look. We're not as rich as everybody says.
So where are we going anyway?,"Nice catch, idiot!","Finally! Come on Bender, let's mosey!","Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver.","Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. La la la look at my head. It's all painted look at my head! I got a big old head, hey! Ho! Alright, show's over, I'm tired.",Kappa Kappa Wong.
The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!,Nowhere special. The moon.,So where are we going anyway?,"Nice catch, idiot!","Finally! Come on Bender, let's mosey!","Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver."
Can I do the countdown?,Nothing will go wrong. If something goes wrong bring back the blood.,Well...I guess so. Just be careful. I'd like to hold off any major screwups until at least my second day as captain.,"Oh, I love stuff like the moon! Can I come, Leela?",The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!,Nowhere special. The moon.
Ten......nine --,"Huh? Oh sure, knock yourself out.",Can I do the countdown?,Nothing will go wrong. If something goes wrong bring back the blood.,Well...I guess so. Just be careful. I'd like to hold off any major screwups until at least my second day as captain.,"Oh, I love stuff like the moon! Can I come, Leela?"
"Hurry up, I wanna see the moon!",OK we're here!,Ten......nine --,"Huh? Oh sure, knock yourself out.",Can I do the countdown?,Nothing will go wrong. If something goes wrong bring back the blood.
That's one small step for Fry --,"Relax, its open till 9.","Hurry up, I wanna see the moon!",OK we're here!,Ten......nine --,"Huh? Oh sure, knock yourself out."
"Wow! Um, can I have cuts?",And one giant line for admission!,That's one small step for Fry --,"Relax, its open till 9.","Hurry up, I wanna see the moon!",OK we're here!
You're not gonna believe this but they landed an amusement park on the moon!,Hmm -- No!,"Wow! Um, can I have cuts?",And one giant line for admission!,That's one small step for Fry --,"Relax, its open till 9."
"Lets go, already!",Guh! It's the happiest place orbiting Earth.,You're not gonna believe this but they landed an amusement park on the moon!,Hmm -- No!,"Wow! Um, can I have cuts?",And one giant line for admission!
Let's just dump it in the sewer and say we delivered it.,"Fry, we have a crate to deliver.","Lets go, already!",Guh! It's the happiest place orbiting Earth.,You're not gonna believe this but they landed an amusement park on the moon!,Hmm -- No!
I had more but you go ahead.,"OK, if everyone's finished being stupid",Too much work. Lets burn it and say we dumped it in the sewer.,Let's just dump it in the sewer and say we delivered it.,"Fry, we have a crate to deliver.","Lets go, already!"
But I've never been to the moon before.,We'll deliver that crate like professionals and then we'll go home.,I had more but you go ahead.,"OK, if everyone's finished being stupid",Too much work. Lets burn it and say we dumped it in the sewer.,Let's just dump it in the sewer and say we delivered it.
Clear!,Clear?,"Aye, aye, Captain! I mean only one eye. I mean, yes, sir, um, ma'am!","Alright. We'll deliver that crate like professionals...and then we'll go ride the bumper cars. Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful.",But I've never been to the moon before.,We'll deliver that crate like professionals and then we'll go home.
Ready!,Ready to hoist?,Clear!,Clear?,"Aye, aye, Captain! I mean only one eye. I mean, yes, sir, um, ma'am!","Alright. We'll deliver that crate like professionals...and then we'll go ride the bumper cars. Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful."
My first space delivery.,Ow!,Ready!,Ready to hoist?,Clear!,Clear?
"Uh, greetings, Moon Man, we come in peace. I am Fry from the planet Earth.",My first space delivery.,Ow!,Ready!,Ready to hoist?,Clear!
"But you are lazy, right?","Wise guy, huh? If I wasn't so lazy I'd punch you in the stomach.","Uh, greetings, Moon Man, we come in peace. I am Fry from the planet Earth.",My first space delivery.,Ow!,Ready!
"Hey, I got you guys refrigerator magnets.",Idiots who need gifts for other idiots.,Who buys this trash?,At least I still have my self respect!,Better mascots than you have tried.,"Hi, I'm Crater Face! Welcome to Luna Park. I'll have to confiscate your alcohol, sir."
So you flip out and start acting like some crazy folk singer?,"Get it off! Get it off! Get it -- uh oh! How many roads must a man walk down, before you... Keep those things off of me! Magnets screw up my inhibition unit!","Hey, I got you guys refrigerator magnets.",Idiots who need gifts for other idiots.,Who buys this trash?,At least I still have my self respect!
This is weak!,Because it's a little meteor!,Why does a moon rock taste better than an Earth rock?,Monsanto presents: The Goophy Gopher Revue!,"Oh, jeez, I went to high school with that guy!","Bender, hey, Bender! Over here!"
"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth. That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!","What's wrong, Fry?",Address all complaints to the Monsanto Corporation.,This is weak!,Because it's a little meteor!,Why does a moon rock taste better than an Earth rock?
I don't care how educational it is. Let's do it!,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!,But the phoney stuff is what's fun. It's boring out there.,"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth. That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!","What's wrong, Fry?"
Finally! Get ready for some serious moon action.,Next year in Jerusalem!,I don't care how educational it is. Let's do it!,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!,But the phoney stuff is what's fun. It's boring out there.
"That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife.","Wow, I never realised the first astronauts were so fat!","One of these days, Alice. Bang! Zoom! Straight to the moon!",The story of lunar exploration started with one man. A man with a dream.,Finally! Get ready for some serious moon action.,Next year in Jerusalem!
I do.,"No one knows where, when or how Man first landed on the moon...",What do I look like? A guy who's not lazy?,Mister? Could you please get those keys out for me?,Nah. She'll probably make me do it.,The keys to the ship! They must have fallen into the crate! Leela's gonna kill me!
That's not how it happened.,...and sing a whaling tune. We're whalers on the moon...,"We carry a harpoon,","We're whalers on the moon,",...but our fungineers think it might have happened something like this:,I do.
This is stupid. I'm taking this thing out to the real moon.,"Oh, really? I don't see you with a fungineering degree! pgt;",That's not how it happened.,...and sing a whaling tune. We're whalers on the moon...,"We carry a harpoon,","We're whalers on the moon,"
Not for long!,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track.",This is stupid. I'm taking this thing out to the real moon.,"Oh, really? I don't see you with a fungineering degree! pgt;",That's not how it happened.,...and sing a whaling tune. We're whalers on the moon...
Agreed. Yee-haw! Woo! Yeah! Crank up the radio!,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?",Ooh aah! I died doin' what I loved.,Not for long!,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track.",This is stupid. I'm taking this thing out to the real moon.
Yee-haw!,We're whalers on the -,Agreed. Yee-haw! Woo! Yeah! Crank up the radio!,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?",Ooh aah! I died doin' what I loved.,Not for long!
No not yet. How 'bout we go look for the original moon landing site?,Time's up. Make a U-turn at the next crater.,Yee-haw!,We're whalers on the -,Agreed. Yee-haw! Woo! Yeah! Crank up the radio!,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?"
Well I'm feelin' lucky! Uh... I'm ready to go back now.,That's crazy! It's been lost for centuries!,No not yet. How 'bout we go look for the original moon landing site?,Time's up. Make a U-turn at the next crater.,Yee-haw!,We're whalers on the -
"We're gonna die! It's every man for himself! Help me, Leela! You did it! We're safe!",Well I'm feelin' lucky! Uh... I'm ready to go back now.,That's crazy! It's been lost for centuries!,No not yet. How 'bout we go look for the original moon landing site?,Time's up. Make a U-turn at the next crater.,Yee-haw!
It's every man for himself.,No. Now we're gonna die.,"We're gonna die! It's every man for himself! Help me, Leela! You did it! We're safe!",Well I'm feelin' lucky! Uh... I'm ready to go back now.,That's crazy! It's been lost for centuries!,No not yet. How 'bout we go look for the original moon landing site?
"I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there.","Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!","Here, let me do it. Ah, lousy arm. Must be rigged! That's her, officers! Uh, that's the woman who programmed me for evil!",I know how to make love!,"Come on, it's just like making love. Y'know: Left, down, rotate 62 degrees, engage rotor.",Shut up. You're distracting me.
"No, sir. We're amusement park patrons.","Trespassers, eh?",Thank God!,"I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there.","Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!","Here, let me do it. Ah, lousy arm. Must be rigged! That's her, officers! Uh, that's the woman who programmed me for evil!"
