response,context/0,context/1,context/2,context/3,context/4
"Mummy, Dad, come here!",I never knew my parents either.,I see. That's me as well.,Do you miss your family?,Was it nice there?,"You're from Burma, aren't you?"
Anytime.,Thanks.,you won't believe what this snake is doing!,"Mummy, Dad, come here!",I never knew my parents either.,I see. That's me as well.
"I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?,How did you get in there?
"One minute the glass was there and then it was gone, it was like magic.","I swear, I don't know!",What happened?,We'll get you out of these cold clothes.,"It's all right, sweetheart.",ls there a snake?
Will I have to wear that too?,Proudest moment of my life.,Caveat Smeltonia.,"In just a week, he'll be off to Smeltings.",I can't believe it!,"Vernon, just look at him!"
That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!,What? You? Go to Smeltings?
It'll fit me like bits of old elephant skin.,That's Dudley's old uniform.,"This is what you'll going to be wearing, when I finish dyeing it.",Where you belong.,You're going to go to the state school.,Don't be so stupid!
"Hey, give it back! It's mine!","Dad, look! Harry's got a letter!",Marge is ill. Ate a funny whelk.,Go get the post. Go!,It'll fit you well enough.,It'll fit me like bits of old elephant skin.
Because there's no post on Sundays?,"Why is that, Dudley?","In my opinion, best day of the week.","Fine day, Sunday.",Shoo! Go on.,"Have a lovely day at the office, dear."
Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!,"No, sir, not one blasted, miserable..."
They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?",Stop it!
Let go of me!,They're my letters!,Get off!,Give me that letter!,Give me that!,"Mummy, what's happening?"
"Make a wish, Harry.","Daddy's gone mad, hasn't he?","Far away, where they can't find us!",We're going away!,That's it!,Let go of me!
I am.,I'm not Harry.,Particularly 'round the middle.,But you're a bit more along than I would have expected.,"Mind, I haven't seen you since you was a baby, Harry.","Dry up, Dursley, you great prune."
Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.,"Well, of course you are.",I am.
"Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.,"Baked it myself, words and all.","Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",Got something for you.
"Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?","It's not every day that your young man turns 11, now is it?",Thank you.
Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts.","Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.","Excuse me, who are you?"
I'm a what?,"You're a wizard, Harry.",Learnt what?,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?","Sorry, no.","Of course, you know all about Hogwarts."
"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry.",Learnt what?
I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?,"You're a wizard, Harry."
"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.,I'm a what?
Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.
"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.
We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.,"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?",Just Harry.,"I mean, I'm just Harry."
You knew?,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.,"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?"
You knew all along and you never told me?,You knew?,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!,We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.,"Dear Mr. Potter,"
Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.,"Then she met that Potter, and then she had you..."
You told me my parents died in a car crash.,Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!","Just as strange, just as abnormal.",and I knew you would be the same.
Muggle?,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",He'll not be going.,It's a scandal!,It's an outrage!,We had to say something.
Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",Never insult Albus Dumbledore in front of me.,I will not pay to have some crackpot old fool teach him magic tricks.,"he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore."
First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule.",Okay.,"Strickly speaking, I'm not allowed to do magic."
One pair of dragon hide gloves.,"Essential bit of equipment, Harry.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.,"Ooh, We're a bit behind schedule."
"Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, Harry.",First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.
You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?","Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, Harry."
"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.,"Vastly misunderstood beasts, Harry.",You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?"
Can we find all this in London?,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.,"Vastly misunderstood beasts, Harry.",You'd like a dragon?,Crikey. I'd love a dragon.
"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"Harry, This is Professor Quirrell.","Hello, professor. I didn't see you there.",Harry Potter. Can't tell you how pleased I am to meet you.,I can't believe I'm meeting you at last.
Goodbye.,Lots to buy.,"Yes, well, must be going now.","Not that you need it, eh, Potter?",Fearfully fascinating subject.,"Oh, nice to meet you."
"But why am I famous, Hagrid?","See, Harry? You're famous.",Goodbye.,Lots to buy.,"Yes, well, must be going now.","Not that you need it, eh, Potter?"
"All those people back there, how is it they know who I am?","But why am I famous, Hagrid?","See, Harry? You're famous.",Goodbye.,Lots to buy.,"Yes, well, must be going now."
"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!,It's a world-class racing broom.,"And over there, all your bits and bobs for doing your wizardry.",Here's where you'll get your quills and your ink.
I haven't any money.,"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!,It's a world-class racing broom.,"And over there, all your bits and bobs for doing your wizardry."
"Hagrid, what exactly are these things?",Except perhaps Hogwarts.,"Ain't no safer place, not one.","Gringotts, the wizard bank.","Well there's your money, Harry.",I haven't any money.
"What's in there, Hagrid?",Vault 713.,"Didn't think your mum and dad will leave you with nothing, now did ya?","Key, please.","Lamp, please.",Vault 687.
I still need... a wand.,"Best not to mention this to anyone, Harry.",Stand back.,Hogwarts business. Very secret.,"Can't tell you, Harry.","What's in there, Hagrid?"
Hello?,Won't be long.,I just got one more thing I gotta do.,Why don't you run along there and wait.,There ain't no place better.,"A wand? Well, you'll want Ollivanders."
Hello?,Hello?,Won't be long.,I just got one more thing I gotta do.,Why don't you run along there and wait.,There ain't no place better.
"Sorry, but what's curious?",Very curious.,I wonder.. Curious.,No matter.,"No, no, definitely not.",Perhaps this
And who owned that wand?,It is curious that you should be destined for this wand when its brother gave you that scar.,Just one other.,"It so happens that the phoenix whose tail feather resides in your wand, gave another feather.","I remember every wand I've ever sold, Mr. Potter.","Sorry, but what's curious?"
"He killed my parents, didn't he?",You seem very quiet.,"You all right, Harry?",Happy birthday.,Harry! Harry!,"Terrible yes, but great"
The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, Harry?",Happy birthday.,Harry! Harry!
"You know, Hagrid.",The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, Harry?",Happy birthday.
I know you do.,"You know, Hagrid.",The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.,"You all right, Harry?"
Maybe if you wrote it down?,His name was V...,His name was V...,A few years ago there was a one wizard who went as bad as he can go.,Some of them go bad.,Not all wizards are good.
Voldemort?,"All right, Voldemort.","No, I can't spell it.",Maybe if you wrote it down?,His name was V...,His name was V...
Me? Voldemort tried to kill me?,Except you.,"Nobody, not one.",But nobody lived once he decided to kill them.,Your parents fought against him.,Anyone that stood up to him ended up dead.
What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that.","Yes. That ain't no ordinary cut on your forehead, Harry.",Me? Voldemort tried to kill me?,Except you.,"Nobody, not one."
To You-Know-Who?,What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that.","Yes. That ain't no ordinary cut on your forehead, Harry.",Me? Voldemort tried to kill me?,Except you.
Platform 9 3 4?,Stick to your ticket.,"Stick to it, Harry that's very important.",Here's your ticket.,"Now, uh, your train leaves in 10 minutes.","Well, he'll be wanting to see me."
"But, Hagrid, there must be a mistake.",Platform 9 3 4?,Stick to your ticket.,"Stick to it, Harry that's very important.",Here's your ticket.,"Now, uh, your train leaves in 10 minutes."
This says platform 9 3 4.,"But, Hagrid, there must be a mistake.",Platform 9 3 4?,Stick to your ticket.,"Stick to it, Harry that's very important.",Here's your ticket.
"There's no such thing, is there?",This says platform 9 3 4.,"But, Hagrid, there must be a mistake.",Platform 9 3 4?,Stick to your ticket.,"Stick to it, Harry that's very important."
Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?",This says platform 9 3 4.,"But, Hagrid, there must be a mistake.",Platform 9 3 4?
"Excuse me Sir, Can you tell me where I might find platform 9 3 4?",Right on your left Madam.,Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?",This says platform 9 3 4.
Muggles?,Come on!,"It's the same every year, packed with Muggles, Of course.","9 3 4? Think you're being funny, do ya?","Excuse me Sir, Can you tell me where I might find platform 9 3 4?",Right on your left Madam.
Excuse me.,I'm only joking. I am Fred.,"Oh, I'm sorry, George.","Honestly, woman, you call yourself our mother?","He's not Fred, I am.","Fred, you next."
Could you tell me how to...?,Excuse me.,I'm only joking. I am Fred.,"Oh, I'm sorry, George.","Honestly, woman, you call yourself our mother?","He's not Fred, I am."
No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?,Good luck.,Best do it at a bit of a run if you're nervous.,All you've got do is walk straight at the wall between platforms 9 and 10.
I'm Harry. Harry Potter.,Ron Weasley.,"I'm Ron, by the way.",No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?
The what?,"I mean, do you really have the...?",So it's true!,I'm Harry. Harry Potter.,Ron Weasley.,"I'm Ron, by the way."
We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?",Wicked!,The scar?,The what?
Bertie Bott's Every Flavor Beans?,We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?",Wicked!,The scar?
"These aren't real frogs, are they?",George sweared he got a bogey-flavoured one once!,"There's chocolate and peppermint and there's also spinach, liver and tripe.",They mean every flavor.,Bertie Bott's Every Flavor Beans?,We'll take the lot.
I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck.",Watch it!,I've got about 500 myself.,Each pack's got a famous witch or wizard.
"Hey, he's gone!",I got about six of him.,I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck.",Watch it!
Just a little bit.,"Pathetic, isn't he?","This is Scabbers, by the way.","Well, you can't expect him to hang around all day, can you?","Hey, he's gone!",I got about six of him.
Yeah.,Want to see?,Fred gave me a spell as to turn him yellow.,Just a little bit.,"Pathetic, isn't he?","This is Scabbers, by the way."
"Hey, Hagrid.","Hello, Harry.","Come on now, hurry up.","Come on, now, first years, don't be shy.","First years, this way, please!","Right, then."
"I think I can tell the wrong sort for myself, thanks.",I can help you there.,You don't want to go making friends with the wrong sort.,"We'll soon find out that some wizarding families are better than others, Potter.",You must be a Weasley.,Red hair and a hand-me-down robe?
"Nothing. Nothing, I'm fine.","Harry, what is it?",Susan Bones.,There isn't a witch or wizard who went bad who wasn't in Slytherin.,Slytherin!,Draco Malfoy.
"Not Slytherin, not Slytherin!",But where to put you?,And a thirst to prove yourself.,"There's talent, oh, yes.","Not a bad mind, either.","Plenty of courage, I see."
"Say, Percy, who's that teacher talking to Professor Quirrell?",Bit of a nasty shock for him when he found out.,My dad's a Muggle. Mum's a witch.,I'm half and half.,Let the feast begin.,"Your attention, please."
What's he teach?,"Oh, thats Professor Snape, head of Slytherin house.","Say, Percy, who's that teacher talking to Professor Quirrell?",Bit of a nasty shock for him when he found out.,My dad's a Muggle. Mum's a witch.,I'm half and half.
I think she fancies you.,Look at that one.,That picture's moving.,"Quickly now, come on. Come on.","Keep up, please, and follow me.",They like to change.
We got lost.,"That way, one of you might be on time.","Perhaps, lt'd be more useful if I were to transfigure Mr. Potter and yourself into a pocket-watch.","Thank you for that assessment, Mr Weasley.",That was bloody brilliant!,Can you imagine the look on old McGonagall's face if we were late?
"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",Our new celebrity.,Mr. Potter.
"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again.","Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?"
"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?",Pity.,"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir."
Seems a pity not to ask her.,"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?",Pity.,"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?
What's Seamus trying to do to that glass of water?,Eye of rabbit...,Turn this water into rum.,"Eye of rabbit, harp string hum",And Gryffindors note that five points will be taken from your house for your classmate's cheek.,Why aren't you all copying this down?
Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before...",Turn it into rum.,What's Seamus trying to do to that glass of water?,Eye of rabbit...
Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall",Can I borrow this? Thanks.
Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.,"Hey, look! Neville's got a Remembrall"
"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something.",I've read about those.
"The vault in question, number 713, had, in fact, been emptied earlier that very same day.","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something."
That's odd.,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten."
That's the vault Hagrid and I went to.,That's odd.,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.
"Give it here, Malfoy.","Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse.",Did you see his face?,"Understand? If I see a single broom in the air the one riding it will find themselves out of Hogwarts before they can say, Quidditch.",Everyone's to keep their feet firmly on the ground while I take Mr Longbottom to the hospital wing.,"Poor boy. Come on now, up you get."
Give it here or I'll knock you off your broom!,What an idiot.,"Besides, you don't even know how to fly.",You heard what Madam Hooch said.,"Harry, no way!",Bit beyond your reach?
"A century, according to McGonagall.",You must be the youngest Quidditch player in,But first years never make their house teams!,Seeker?,I always knew hed do well.,Harry Potter's the new Gryffindor Seeker.
But I've never even played Quidditch.,"And you'll be great, too!",Best game there is!,Quidditch is great.,"Oh, go on, Harry,",But they'll turn up in a month or two!!
What if I make a fool of myself?,But I've never even played Quidditch.,"And you'll be great, too!",Best game there is!,Quidditch is great.,"Oh, go on, Harry,"
I-I didn't know.,"Harry, you never told me your father was a Seeker, too.",Whoa.,It's in your blood.,You won't make a fool of yourself.,What if I make a fool of myself?
Who doesn't?,She knows more about you than you do.,"I'm telling you, it's spooky.",I-I didn't know.,"Harry, you never told me your father was a Seeker, too.",Whoa.
What's happening?,Ahh!,Who doesn't?,She knows more about you than you do.,"I'm telling you, it's spooky.",I-I didn't know.
Let's go this way.,"The staircases change, remember?",What's happening?,Ahh!,Who doesn't?,She knows more about you than you do.
Let's go.,It's forbidden.,This is the 3rd floor.,We're not supposed to be here.,Does anybody feel like...we shouldn't be here?,Before the staircase moves again.
"Run! Quick, let's hide through that door!",It's Filch's cat!,Let's go.,It's forbidden.,This is the 3rd floor.,We're not supposed to be here.
It's locked!,"Run! Quick, let's hide through that door!",It's Filch's cat!,Let's go.,It's forbidden.,This is the 3rd floor.
And for good reason.,It was locked.,Probably thinks this door's locked.,Filch is gone.,"Anyone here, my sweet? Come on.","Standard book of spells, Chapter 7."
Guarding something?,It's guarding something.,Which means it wasn't there by accident.,It was standing on a trap door.,"Or maybe you didn't notice, there were three!",I was a bit preoccupied with its heads.
I think so.,With me so far?,"The keeper, that's me, defends the hoops.","Now, the chasers handle the Quaffle and try to put it through one of those three hoops.",This one's called the Quaffle.,There are three kinds of balls.
What are those?,I think so.,With me so far?,"The keeper, that's me, defends the hoops.","Now, the chasers handle the Quaffle and try to put it through one of those three hoops.",This one's called the Quaffle.
What was that?,"Eh, not bad, Potter, you'd make a fair beater...Uh-oh.","Careful now, it's comin' back.",You better take this.,What are those?,I think so.
I like this ball.,The only ball I want you to worry about is this...the Golden Snitch.,But you are a Seeker.,Bludger. Nasty little buggers.,What was that?,"Eh, not bad, Potter, you'd make a fair beater...Uh-oh."
What do I do with it?,It's wicked fast and damn near impossible to see.,Just wait.,"Ah, you like it now.",I like this ball.,The only ball I want you to worry about is this...the Golden Snitch.
Whoa.,"You catch this, Potter, and we win.","You catch this, the game is over.",You catch it...before the other team's seeker.,What do I do with it?,It's wicked fast and damn near impossible to see.
"I think we're going to need another feather over here, Professor.",Whooaaa! Ooh.,Wingard Levosa. Wingardly Lev...,"Oh, splendid!",Ms. Granger's done it!,"See here, everyone!"
I think she heard you.,No wonder she hasn't got any friends!,"Honestly, she's a nightmare.","It's Leviosa, not Leviosar.","I think we're going to need another feather over here, Professor.",Whooaaa! Ooh.
Where's Hermione?,I think she heard you.,No wonder she hasn't got any friends!,"Honestly, she's a nightmare.","It's Leviosa, not Leviosar.","I think we're going to need another feather over here, Professor."
How could a troll get in?,And stay alert!,Gryffindors...keep up please.,Stay together!,"Hufflepuff, this way!",Teachers will follow me to the dungeons.
Hermione!,What?,Probably people playing jokes.,Trolls are really stupid.,Not by itself.,How could a troll get in?
She doesn't know!,Hermione!,What?,Probably people playing jokes.,Trolls are really stupid.,Not by itself.
It's going into the Girl's Bathroom!,I think the troll's left the dungeon.,She doesn't know!,Hermione!,What?,Probably people playing jokes.
"Hermione, move!",It's going into the Girl's Bathroom!,I think the troll's left the dungeon.,She doesn't know!,Hermione!,What?
"Whooa! Whoa, whoa!",Ahhh! Help!,"Hey, pea brain!",Help! Help!,"Hermione, move!",It's going into the Girl's Bathroom!
Do something!,"Whooa! Whoa, whoa!",Ahhh! Help!,"Hey, pea brain!",Help! Help!,"Hermione, move!"
Anything!,What?,Do something!,"Whooa! Whoa, whoa!",Ahhh! Help!,"Hey, pea brain!"
Hurry up!,Anything!,What?,Do something!,"Whooa! Whoa, whoa!",Ahhh! Help!
I don't think so.,Is it...dead?,Cool!,Wingardium Leviosa!,Swish and flick!,Hurry up!
Just knocked out.,I don't think so.,Is it...dead?,Cool!,Wingardium Leviosa!,Swish and flick!
Ew. Troll bogies.,Just knocked out.,I don't think so.,Is it...dead?,Cool!,Wingardium Leviosa!
"Well, what it is...","E-Explain yourselves, both of you!","Oh! Oh, my goodness!",Ew. Troll bogies.,Just knocked out.,I don't think so.
Good of you to get us out of trouble like that.,M-might wake up...heh.Ahh! Hehe....,Perhaps you ought to go...,For sheer dumb luck.,5 points...will be awarded to each of you.,Not many first year students could take on a full grown mountain troll and live to tell the tale.
"Mind you, she might not have needed saving if you hadn't insulted her.","Mind you, we did save her life.",Good of you to get us out of trouble like that.,M-might wake up...heh.Ahh! Hehe....,Perhaps you ought to go...,For sheer dumb luck.
I'm not hungry.,You're gonna need your strength today.,"Ron's right, Harry.","Take a bit of toast, mate. Go on.",What are friends for?,"Mind you, she might not have needed saving if you hadn't insulted her."
That explains the blood.,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.","Good luck today, Potter.",I'm not hungry.,You're gonna need your strength today.,"Ron's right, Harry."
"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?,That explains the blood.,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.","Good luck today, Potter.",I'm not hungry.
"But, he got himself bitten, that's why he's limping.","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?,That explains the blood.,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.","Good luck today, Potter."
"The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?,"But, he got himself bitten, that's why he's limping.","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?,That explains the blood.
"He said it was Hogwarts' business, very secret.","The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?,"But, he got himself bitten, that's why he's limping.","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?
That's what the dog's guarding.,So you're saying...,"He said it was Hogwarts' business, very secret.","The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?,"But, he got himself bitten, that's why he's limping."
That's what Snape wants.,That's what the dog's guarding.,So you're saying...,"He said it was Hogwarts' business, very secret.","The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?
But I-I never get mail.,"Bit early for mail, isn't it?",That's what Snape wants.,That's what the dog's guarding.,So you're saying...,"He said it was Hogwarts' business, very secret."
It's a broomstick!,Let's open it.,But I-I never get mail.,"Bit early for mail, isn't it?",That's what Snape wants.,That's what the dog's guarding.
But who...?,It's a Nimbus 2000!,"Thats not just a broomstick, Harry.",It's a broomstick!,Let's open it.,But I-I never get mail.
A little.,"Scared, Harry?",But who...?,It's a Nimbus 2000!,"Thats not just a broomstick, Harry.",It's a broomstick!
What happened?,I felt the same way before my first game.,That's all right.,A little.,"Scared, Harry?",But who...?
Yes! Whoa!,10 points for Gryffindor!,Angelina Johnson scores!,The Quaffle is released...and the game begins!,The seeker who catches the Snitch ends the game.,"Remember, the snitch is worth 150 points."
Yes!,Bletchley passes to Captain Marcus Flint.,Slytherin takes possession of the Quaffle.,Well done!,Yes! Whoa!,10 points for Gryffindor!
Whoa! Whooa!,Take that side!,Boooo!!,Give me that!,Yay!,Another 10 points to Gryffindor!
Who knows.,Why would Snape put a curse on Harry's broom?,Nonsense.,Go go Gryffindor! Go go Gryffindor!,Whoo-hoo!,Yes!
Why was he trying to get past that 3 headed dog on Halloween?,Who knows.,Why would Snape put a curse on Harry's broom?,Nonsense.,Go go Gryffindor! Go go Gryffindor!,Whoo-hoo!
Yes?,Then I lent him to Dumbledore to guard the,I bought him off an Irish feller I met down at the pub last year.,He's mine.,"Well, of course he's got a name.",That thing has a name?
"But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!","That's top secret, that is.",Don't ask any more questions.,Shouldn'ta said that.  No more questions!,Yes?,Then I lent him to Dumbledore to guard the
Exactly.,And Snape wasn't blinking.,You have to keep eye contact.,I've read all about them.,"Hogwarts teacher or not, I know a curse when I see one.",Professor Snape is a Hogwarts teacher.
Nicholas Flamel?,What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel.,It's dangerous.,You're meddlin' in things that ought not to be meddled in.,"Now, you listen to me, all three of you.",Exactly.
Nicholas Flamel...Who's Nicholas Flamel?,I should not have said that.,I should not have said that.,I shouldn't have said that.,Nicholas Flamel?,What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel.
Knight to E-5.,I don't know.,Nicholas Flamel...Who's Nicholas Flamel?,I should not have said that.,I should not have said that.,I shouldn't have said that.
"Happy Christmas, Ron.","Happy Christmas, Harry.","Come on Harry, wake up!","Harry, wake up!",I think we've had a bad influence on her.,Happy Christmas.
What are you wearing?,"Happy Christmas, Ron.","Happy Christmas, Harry.","Come on Harry, wake up!","Harry, wake up!",I think we've had a bad influence on her.
