response,context,context/0
I'm a what?,"You're a wizard, Harry.",Learnt what?
"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little.",A wizard.
I mean...l can't be a wizard.,"No, you've made a mistake.","And a thumping good one, I'd wager, once you're trained up little."
"I mean, I'm just Harry.",I mean...l can't be a wizard.,"No, you've made a mistake."
Just Harry.,"I mean, I'm just Harry.",I mean...l can't be a wizard.
"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?","Well, Just Harry, did you ever make anything happen?"
We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.,"Dear Mr. Potter,","Anything you couldn't explain, when you were angry or scared?"
You knew?,We swore when we took him in we'd put a stop to all this rubbish.,He will not be going there!
You knew all along and you never told me?,You knew?,We swore when we took him in we'd put a stop to all this rubbish.
Blown up?,And we got landed with you.,"And then, if you please, she went and got herself blown up!"
You told me my parents died in a car crash.,Blown up?,And we got landed with you.
Muggle?,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",He'll not be going.
Okay.,"Strickly speaking, I'm not allowed to do magic.","Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that."
First year's students will require three sets of plain work robes one wand.,"Unless you'd rather stay, of course.",Best be off.
One pair of dragon hide gloves.,"Essential bit of equipment, Harry.",First year's students will require three sets of plain work robes one wand.
"Hagrid, Do they mean from a real dragon?",One pair of dragon hide gloves.,"Essential bit of equipment, Harry."
You'd like a dragon?,Crikey. I'd love a dragon.,"They don't mean a penguin, do they?"
"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.,"Vastly misunderstood beasts, Harry."
Can we find all this in London?,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",Vastly misunderstood.
"Oh, nice to meet you.",He will be your Defense Against the Dark Arts teacher at Hogwarts,"Harry, This is Professor Quirrell."
Goodbye.,Lots to buy.,"Yes, well, must be going now."
"But why am I famous, Hagrid?","See, Harry? You're famous.",Goodbye.
"All those people back there, how is it they know who I am?","But why am I famous, Hagrid?","See, Harry? You're famous."
"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.,Look at it! The new Nimbus 2000!
I haven't any money.,"But, Hagrid, how am I to pay for all this?",It's the fastest model yet.
"Hagrid, what exactly are these things?",Except perhaps Hogwarts.,"Ain't no safer place, not one."
"What's in there, Hagrid?",Vault 713.,"Didn't think your mum and dad will leave you with nothing, now did ya?"
I still need... a wand.,"Best not to mention this to anyone, Harry.",Stand back.
Hello?,Won't be long.,I just got one more thing I gotta do.
Hello?,Hello?,Won't be long.
"Sorry, but what's curious?",Very curious.,I wonder.. Curious.
And who owned that wand?,It is curious that you should be destined for this wand when its brother gave you that scar.,Just one other.
"He killed my parents, didn't he?",You seem very quiet.,"You all right, Harry?"
The one who gave me this.,"He killed my parents, didn't he?",You seem very quiet.
"You know, Hagrid.",The one who gave me this.,"He killed my parents, didn't he?"
I know you do.,"You know, Hagrid.",The one who gave me this.
Maybe if you wrote it down?,His name was V...,His name was V...
Voldemort?,"All right, Voldemort.","No, I can't spell it."
Me? Voldemort tried to kill me?,Except you.,"Nobody, not one."
What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that.","Yes. That ain't no ordinary cut on your forehead, Harry."
To You-Know-Who?,What happened to V...?,"A mark like that only comes from being touched by a curse, and an evil curse at that."
Platform 9 3 4?,Stick to your ticket.,"Stick to it, Harry that's very important."
"But, Hagrid, there must be a mistake.",Platform 9 3 4?,Stick to your ticket.
This says platform 9 3 4.,"But, Hagrid, there must be a mistake.",Platform 9 3 4?
"There's no such thing, is there?",This says platform 9 3 4.,"But, Hagrid, there must be a mistake."
Excuse me. Excuse me.,Sorry.,"There's no such thing, is there?"
"Excuse me Sir, Can you tell me where I might find platform 9 3 4?",Right on your left Madam.,Excuse me. Excuse me.
Muggles?,Come on!,"It's the same every year, packed with Muggles, Of course."
Excuse me.,I'm only joking. I am Fred.,"Oh, I'm sorry, George."
Could you tell me how to...?,Excuse me.,I'm only joking. I am Fred.
No. Not at all.,Everywhere else is full.,Excuse me. Do you mind?
I'm Harry. Harry Potter.,Ron Weasley.,"I'm Ron, by the way."
The what?,"I mean, do you really have the...?",So it's true!
We'll take the lot.,"No, thanks. I'm all set.","Anything off the trolley, dears?"
Bertie Bott's Every Flavor Beans?,We'll take the lot.,"No, thanks. I'm all set."
"These aren't real frogs, are they?",George sweared he got a bogey-flavoured one once!,"There's chocolate and peppermint and there's also spinach, liver and tripe."
I've got Dumbledore!,They've only got one good jump in them to begin with.,"Oh, that's rotten luck."
"Hey, he's gone!",I got about six of him.,I've got Dumbledore!
Just a little bit.,"Pathetic, isn't he?","This is Scabbers, by the way."
Yeah.,Want to see?,Fred gave me a spell as to turn him yellow.
"Hey, Hagrid.","Hello, Harry.","Come on now, hurry up."
"I think I can tell the wrong sort for myself, thanks.",I can help you there.,You don't want to go making friends with the wrong sort.
"Nothing. Nothing, I'm fine.","Harry, what is it?",Susan Bones.
"Not Slytherin, not Slytherin!",But where to put you?,And a thirst to prove yourself.
"Say, Percy, who's that teacher talking to Professor Quirrell?",Bit of a nasty shock for him when he found out.,My dad's a Muggle. Mum's a witch.
What's he teach?,"Oh, thats Professor Snape, head of Slytherin house.","Say, Percy, who's that teacher talking to Professor Quirrell?"
I think she fancies you.,Look at that one.,That picture's moving.
We got lost.,"That way, one of you might be on time.","Perhaps, lt'd be more useful if I were to transfigure Mr. Potter and yourself into a pocket-watch."
"I don't know, Sir.","Where, Mr Potter, would you look if I asked you to find me a bezoar?","You don't know? Well, let's try again."
"I don't know, Sir.",And what is the difference between monkshood and wolfsbane?,"I don't know, Sir."
"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?",Pity.
Seems a pity not to ask her.,"Clearly, Hermione knows.","Clearly, fame isn't everything is it, Mr. Potter?"
What's Seamus trying to do to that glass of water?,Eye of rabbit...,Turn this water into rum.
Can I borrow this? Thanks.,Mail's here.,"Actually managed a weak tea yesterday, before..."
Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten.","When the smoke turns red, it means you've forgotten something."
Listen.,Hey Ron! Somebody broke into Gringotts.,"The only problem is, I can't remember what I've forgotten."
"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.,Hey Ron! Somebody broke into Gringotts.
"The vault in question, number 713, had, in fact, been emptied earlier that very same day.","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken.",Listen.
That's odd.,"The vault in question, number 713, had, in fact, been emptied earlier that very same day.","Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken."
That's the vault Hagrid and I went to.,That's odd.,"The vault in question, number 713, had, in fact, been emptied earlier that very same day."
"Give it here, Malfoy.","Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse.",Did you see his face?
Give it here or I'll knock you off your broom!,What an idiot.,"Besides, you don't even know how to fly."
"A century, according to McGonagall.",You must be the youngest Quidditch player in,But first years never make their house teams!
But I've never even played Quidditch.,"And you'll be great, too!",Best game there is!
What if I make a fool of myself?,But I've never even played Quidditch.,"And you'll be great, too!"
I-I didn't know.,"Harry, you never told me your father was a Seeker, too.",Whoa.
Who doesn't?,She knows more about you than you do.,"I'm telling you, it's spooky."
What's happening?,Ahh!,Who doesn't?
Let's go this way.,"The staircases change, remember?",What's happening?
Let's go.,It's forbidden.,This is the 3rd floor.
"Run! Quick, let's hide through that door!",It's Filch's cat!,Let's go.
It's locked!,"Run! Quick, let's hide through that door!",It's Filch's cat!
And for good reason.,It was locked.,Probably thinks this door's locked.
Guarding something?,It's guarding something.,Which means it wasn't there by accident.
I think so.,With me so far?,"The keeper, that's me, defends the hoops."
What are those?,I think so.,With me so far?
What was that?,"Eh, not bad, Potter, you'd make a fair beater...Uh-oh.","Careful now, it's comin' back."
I like this ball.,The only ball I want you to worry about is this...the Golden Snitch.,But you are a Seeker.
What do I do with it?,It's wicked fast and damn near impossible to see.,Just wait.
Whoa.,"You catch this, Potter, and we win.","You catch this, the game is over."
"I think we're going to need another feather over here, Professor.",Whooaaa! Ooh.,Wingard Levosa. Wingardly Lev...
I think she heard you.,No wonder she hasn't got any friends!,"Honestly, she's a nightmare."
Where's Hermione?,I think she heard you.,No wonder she hasn't got any friends!
How could a troll get in?,And stay alert!,Gryffindors...keep up please.
Hermione!,What?,Probably people playing jokes.
She doesn't know!,Hermione!,What?
It's going into the Girl's Bathroom!,I think the troll's left the dungeon.,She doesn't know!
"Hermione, move!",It's going into the Girl's Bathroom!,I think the troll's left the dungeon.
"Whooa! Whoa, whoa!",Ahhh! Help!,"Hey, pea brain!"
Do something!,"Whooa! Whoa, whoa!",Ahhh! Help!
Anything!,What?,Do something!
Hurry up!,Anything!,What?
I don't think so.,Is it...dead?,Cool!
Just knocked out.,I don't think so.,Is it...dead?
Ew. Troll bogies.,Just knocked out.,I don't think so.
"Well, what it is...","E-Explain yourselves, both of you!","Oh! Oh, my goodness!"
Good of you to get us out of trouble like that.,M-might wake up...heh.Ahh! Hehe....,Perhaps you ought to go...
"Mind you, she might not have needed saving if you hadn't insulted her.","Mind you, we did save her life.",Good of you to get us out of trouble like that.
I'm not hungry.,You're gonna need your strength today.,"Ron's right, Harry."
That explains the blood.,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin.","Good luck today, Potter."
"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?,That explains the blood.
"But, he got himself bitten, that's why he's limping.","Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog.",Blood?
"The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?,"But, he got himself bitten, that's why he's limping."
"He said it was Hogwarts' business, very secret.","The day I was at Gringotts, Hagrid took something out of one of the vaults.",But why would anyone go near that dog?
That's what the dog's guarding.,So you're saying...,"He said it was Hogwarts' business, very secret."
That's what Snape wants.,That's what the dog's guarding.,So you're saying...
But I-I never get mail.,"Bit early for mail, isn't it?",That's what Snape wants.
It's a broomstick!,Let's open it.,But I-I never get mail.
But who...?,It's a Nimbus 2000!,"Thats not just a broomstick, Harry."
A little.,"Scared, Harry?",But who...?
What happened?,I felt the same way before my first game.,That's all right.
Yes! Whoa!,10 points for Gryffindor!,Angelina Johnson scores!
Yes!,Bletchley passes to Captain Marcus Flint.,Slytherin takes possession of the Quaffle.
Whoa! Whooa!,Take that side!,Boooo!!
Who knows.,Why would Snape put a curse on Harry's broom?,Nonsense.
Why was he trying to get past that 3 headed dog on Halloween?,Who knows.,Why would Snape put a curse on Harry's broom?
Yes?,Then I lent him to Dumbledore to guard the,I bought him off an Irish feller I met down at the pub last year.
"But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!","That's top secret, that is.",Don't ask any more questions.
Exactly.,And Snape wasn't blinking.,You have to keep eye contact.
Nicholas Flamel?,What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel.,It's dangerous.
Nicholas Flamel...Who's Nicholas Flamel?,I should not have said that.,I should not have said that.
Knight to E-5.,I don't know.,Nicholas Flamel...Who's Nicholas Flamel?
"Happy Christmas, Ron.","Happy Christmas, Harry.","Come on Harry, wake up!"
What are you wearing?,"Happy Christmas, Ron.","Happy Christmas, Harry."
I've got presents?,Looks like you've got one too!,"Oh, Mum made it."
Oh!,Yeah!,I've got presents?
Your father left this in my possession before he died.,There they are.,Oh!
It is time it was returned to you.,Your father left this in my possession before he died.,There they are.
Use it well.,It is time it was returned to you.,Your father left this in my possession before he died.
Some kind of...cloak.,What is it?,Use it well.
My body's gone!,Whoa!,Put it on.
I'm invisible??,That's an invisibility cloak!,I know what that is!
There was no name.,I wonder who gave it to you.,They're really rare.
"It just said, Use it well.",There was no name.,I wonder who gave it to you.
Famous fire eaters...,"It just said, Use it well.",There was no name.
15th Century Fiends...Flamel...,Famous fire eaters...,"It just said, Use it well."
Nicholas Flamel...where are you?,15th Century Fiends...Flamel...,Famous fire eaters...
Mum? Dad?,That means there's a student out of bed.,It's still hot.
Ron! You've really got to see this!,Mum? Dad?,That means there's a student out of bed.
Ron! You've got to see this!,Ron! You've really got to see this!,Mum? Dad?
"Ron, Ron, come on. Get out of bed!",Ron! You've got to see this!,Ron! You've really got to see this!
There's something you've got to see.,Why?,"Ron, Ron, come on. Get out of bed!"
"Now, come on!",There's something you've got to see.,Why?
"Come on. Come. Come look, it's my parents!","Now, come on!",There's something you've got to see.
Look in properly. Go on.,I only see us.,"Come on. Come. Come look, it's my parents!"
Stand there. There.,Look in properly. Go on.,I only see us.
"You see them, don't you?",Stand there. There.,Look in properly. Go on.
Thats my dad,"You see them, don't you?",Stand there. There.
How can it?,"Harry, do you think this mirror shows the future?",I look good.
Both my parents are dead.,How can it?,"Harry, do you think this mirror shows the future?"
No.,Wanna play chess?,I'll be right back.
No.,Wanna go and visit Hagrid?,No.
"So, then it shows us what we want?","The happiest man on earth would look into the mirror and see only himself, exactly as he is.",Let me give you a clue.
Whatever we want?,"So, then it shows us what we want?","The happiest man on earth would look into the mirror and see only himself, exactly as he is."
Malfoy.,Leg-Locker Curse?,It's as if they don't trust us! Dumbledore again!
I found him!,"Besides, if anyone cared to notice my eyebrows have completely grown back!","I don't appreciate the insinuation, Longbottom."
Go on!,Dumbledore is particularly famous for his defeat of the dark wizard Grindelwald in 1945.,I found him!
I knew the name sound familiar.,"For the discovery of the twelve uses of dragon blood...and his work on alchemy with his partner, Nicholas Flamel!",Go on!
I read it on the train that day.,I knew the name sound familiar.,"For the discovery of the twelve uses of dragon blood...and his work on alchemy with his partner, Nicholas Flamel!"
The what?,Nicholas Flamel is the only known maker of the Philosopher's Stone!,Of course! Here it is!
Shh!,I know what it means!,It means you'll never die.
Hagrid!,the Philosopher's Stone!,That's what's under the trapdoor...
We think Snape's trying to steal it.,Oh.,We know about the Sorcerer's Stone!
"Hagrid, we know he's after the Stone.","Snape? Blimey, Harry, you're not still on about him, are you?",We think Snape's trying to steal it.
We just don't know why.,"Hagrid, we know he's after the Stone.","Snape? Blimey, Harry, you're not still on about him, are you?"
What?,He's not about to steal it!,Snape is one of the teachers protecting the Stone!
Wait a minute.,"Come on, now, I'm a bit preoccupied today.",You heard. Right.
One of the teachers?,Wait a minute.,"Come on, now, I'm a bit preoccupied today."
"Uh, Hagrid, what exactly is that?",Oh! Ooh! Ooh! Ooh! Ooh!,I shouldn't have told you that.
Norbert?,"Hallo, Norbert.",He knows his mummy. Hehe.
Malfoy.,Who's that?,"He'll have to be trained up a bit, of course."
Hagrid always wanted a dragon.,"Oh, dear.",Malfoy.
He told me so the first time I met him.,Hagrid always wanted a dragon.,"Oh, dear."
I don't understand.,"And worse, Malfoy knows.",It's crazy.
50?!,"Therefore, as punishment for your actions, 50 points will be taken.","Nothing, I repeat, nothing gives a student the right to walk about the school at night."
"Hagrid, what's that?",Right. Let's go.,Nighty-night.
"If I didn't know better, Draco, I'd say you were scared.",This is servant's stuff.,You wait till my father hears about this.
"What is it, Fang?","Come on, Fang.  Scared.",Did you hear that?
But what was that thing you saved me from?,Especially for you.,The forest is not safe at this time.
But who would choose such a life?,A cursed life.,"You have slain something so pure that the moment the blood touches your lips, you will have a half-life."
Do you mean to say...that that thing that killed the unicorn...,Can you think of no one?,But who would choose such a life?
that was drinking its blood...that was Voldemort?,Do you mean to say...that that thing that killed the unicorn...,Can you think of no one?
The Sorcerer's Stone.,Do you know what is hidden in the school at this very moment?,that was drinking its blood...that was Voldemort?
But he's weak.,"You mean, You-Know-Who's out there, right now, in the forest?",You're safe now. Good luck.
He's living off the unicorns.,But he's weak.,"You mean, You-Know-Who's out there, right now, in the forest?"
Don't you see? We had it wrong.,He's living off the unicorns.,But he's weak.
"Snape doesn't want the stone for himself, he wants the stone for Voldemort.",Don't you see? We had it wrong.,He's living off the unicorns.
"With the Elixir of Life, Voldemort will be strong again.","Snape doesn't want the stone for himself, he wants the stone for Voldemort.",Don't you see? We had it wrong.
He'll He'll come back.,"With the Elixir of Life, Voldemort will be strong again.","Snape doesn't want the stone for himself, he wants the stone for Voldemort."
"I think if he'd had the chance, he might have tried to kill me tonight.","But if he comes back, you don't think he'll try to kill you, do you?",He'll He'll come back.
My scar. It keeps burning.,"All right there, Harry?",Speak for yourself.
Not like this.,It's happened before.,My scar. It keeps burning.
I think it's a warning.,Perhaps you should see the nurse.,Not like this.
It means dangers coming. Uhh!,I think it's a warning.,Perhaps you should see the nurse.
Oh. Of course!,It means dangers coming. Uhh!,I think it's a warning.
"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?",What is it?,Oh. Of course!
"I mean, how many people wander around with dragon eggs in their pockets?","Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?",What is it?
Why didn't I see it before?,"I mean, how many people wander around with dragon eggs in their pockets?","Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?"
"Hagrid, who gave you the dragon egg?",Why didn't I see it before?,"I mean, how many people wander around with dragon eggs in their pockets?"
What did he look like?,"Hagrid, who gave you the dragon egg?",Why didn't I see it before?
"The stranger, though, you and he must have talked.",He kept his hood up.,I never saw his face.
And did he seem interested in Fluffy?,"I told him. I said, After Fluffy, a dragon's gonna be no problem.","Well, he wanted to know what sort of creatures I looked after."
"We have to see Professor Dumbledore, immediately!",Where you going?! Wait!,I shouldn't have told you that.
He's gone?! Now?,He received an urgent owl from the Ministry of Magic and left immediately for London.,I'm afraid Professor Dumbledore is not here.
But this is important!,He's gone?! Now?,He received an urgent owl from the Ministry of Magic and left immediately for London.
It's about...the Sorcerer's Stone.,But this is important!,He's gone?! Now?
Someone's going to try and steal it.,How do you know?,It's about...the Sorcerer's Stone.
That was no stranger Hagrid met in the village.,Now would you go back to your dormitories? Quietly.,"I don't know how you three found out about the stone, but I can assure you it is perfectly well-protected."
"It was Snape, which means he knows how to get past Fluffy.",That was no stranger Hagrid met in the village.,Now would you go back to your dormitories? Quietly.
We go down the trapdoor. Tonight.,Now what do we do?,People will think you're up to something.
Trevor.,We go down the trapdoor. Tonight.,Now what do we do?
"Now, Neville, listen. We were","You're sneaking out again, arent you?",Neither should you.
Let's go. Sorry.,"Brilliant, but scary.",You're a little scary sometimes...you know that?
Snoring,Wait a minute...he's....,Alohomora.
Snape's already been here.,Snoring,Wait a minute...he's....
He's put a spell on the harp.,Snape's already been here.,Snoring
We have to move its paw.,Uh. It's got horrible breath!,He's put a spell on the harp.
Come on! Okay. Push!,What?!,We have to move its paw.
I'll go first.,Come on! Okay. Push!,What?!
Don't follow until I give you a sign.,I'll go first.,Come on! Okay. Push!
"If something bad happens, get yourselves out",Don't follow until I give you a sign.,I'll go first.
Does it seem a bit...quiet to you?,"If something bad happens, get yourselves out",Don't follow until I give you a sign.
Jump! Go!,Ew! Yuck! Ugh.,The harp. It stopped playing.
Whoa! Oh. Ahh!,"Lucky this plant-thing is here, really.",Ahh! Whoa.
Hermione!!,"Oh, now I can relax!",Kill us faster?!
Hermione! Where are you?!,Just relax!,Now what are we gonna do?!
"Yeah, yeah, I'm fine.",Are you okay?,Harry!
Apparently not.,"He's not relaxing, is he?",Help!
What?,We've got to do something!,Help! Help me!
"Ron, are you okay?",Ahhh!,Lumus Solem!
Okay.,Yeah.,"Ron, are you okay?"
Lucky Hermione pays attention in Herbology.,Whew. Lucky we didn't panic!,Okay.
I don't know.,What is that?,Lucky Hermione pays attention in Herbology.
Sounds like wings.,I don't know.,What is that?
"They're not birds, they're keys.",Curious. I've never seen birds like these.,Sounds like wings.
And I'll bet one of them fits that door.,"They're not birds, they're keys.",Curious. I've never seen birds like these.
I don't know. Strange.,What's this all about?,And I'll bet one of them fits that door.
There! I see it!,Probably rusty like the handle.,We're looking for a big old fashioned one.
The one with the broken wing!,There! I see it!,Probably rusty like the handle.
It's too simple.,"What's wrong, Harry?",The one with the broken wing!
Catch the key!,This complicates things a bit!,You're the youngest seeker in a century!
Where are we? A graveyard.,I don't like this at all.,I don't like this.
There's the door.,It's a chessboard.,This is no graveyard.
Wait a minute.,Pawn to C-3!,Castle to E-4!
"No, Ron! No!","Once I make my move, the Queen will take me...then you'll be free to check the King.","You understand right, Harry."
He's going to sacrifice himself!,What is it?,"No, Ron! No!"
RON!,Ahhhh!,Check.
"NO! Don't move! Dont forget, we're still playing.",RON!,Ahhhh!
Checkmate.,"NO! Don't move! Dont forget, we're still playing.",RON!
"Take care of Ron. Then, go to the owlery.",Checkmate.,"NO! Don't move! Dont forget, we're still playing."
Send a message to Dumbledore.,"Take care of Ron. Then, go to the owlery.",Checkmate.
Ron's right...I have to go on.,Send a message to Dumbledore.,"Take care of Ron. Then, go to the owlery."
Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry."
You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery."
"B-but, that day, during the Quidditch Match, Snape tried to kill me.","Next to him, who would suspect, p-p-poor s-stuttering Professor Quirrell?","Yes. He does seem the type, doesn't he?"
Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded."
Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off.
I-I'm shaking hands with Dumbledore.,What is it?! What do you see?!,Tell me. What do you see?
I've won the house cup.,I-I'm shaking hands with Dumbledore.,What is it?! What do you see?!
Voldemort.,Harry Potter. We meet again.,I have strength enough for this.
Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool!
You liar!,Just give me the stone!,"Together, we'll do extraordinary things."
Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!
Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry."
Ron was here?,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows."
Is he all right?,Ron was here?,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
What about Hermione?,Is he all right?,Ron was here?
"But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?
"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed."
"How is it I got the Stone, sir?","But yes, he will die.",He has enough Elixir to set his affairs in order.
"One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir?","But yes, he will die."
"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas.
What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen."
"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...
All right. Hermione?,All right? You?,"All right there, Ron?"
Good job.,"To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points.",And I have a few last minute points to award.
One minute.,"Come on, Harry.",Go on. Go on. Come on. Hurry up.
"Thanks, Hagrid.",This is for you.,"Thought you were leaving without saying good-bye, didja?"
"But Hagrid, we're not allowed to do magic away from Hogwarts. You know that.","Oh, listen, Harry, if that dolt of a cousin of yours, Dudley, gives you any grief, you could always, um, threaten him with a nice pair of ears to go with that tail of his.",Oh. Go on...on with you.
I'm not going home. Not really.,"Feels strange to be going home, doesn't it?","I do. But your cousin don't, do he? Eh? Off you go."
"I cant let you out, Hedwig.",I'm not going home. Not really.,"Feels strange to be going home, doesn't it?"
Im not allowed to use magic outside of school.,"I cant let you out, Hedwig.",I'm not going home. Not really.
"Besides, if Uncle Vernon",Im not allowed to use magic outside of school.,"I cant let you out, Hedwig."
Now youve done it.,Harry Potter!,"Besides, if Uncle Vernon"
But shes bored!,"Im warning you, if you cant control that bloody bird itll have to go.",Hes in there. Vernon...
If I could only let out for an hour or two,But shes bored!,"Im warning you, if you cant control that bloody bird itll have to go."
But I havent had any messages from any of my friends... not one all summer.,"Huh, huh! So you could send secret messages to you freaky little friends. No, sir!",If I could only let out for an hour or two
"Ill be in my bedroom, making no noise and pretending that I dont exist.",Excellent! ...And you...?,Ill be waiting to open the door!
Who are you?,Harry Potter! Such an honor it is!,"Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha!"
"Not to be to be rude or anything, but this isnt a great time for me to have a house elf in my bedroom.","Dobby sir, Dobby the house elf.",Who are you?
Why dont you sit down?,Dobby wonders where to begin?,"Its just that, Dobby has come to tell you- it is difficult, sir"
"Dobby, ssh! Im sorry!","Oh, oh, ho. Oh, ho, ho... Oh, ho, ho.",S-sit down? S-sit- sit down?
"I didnt mean to offend you, or anything.","Dobby, ssh! Im sorry!","Oh, oh, ho. Oh, ho, ho... Oh, ho, ho."
You cant have met many decent wizards then.,"Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal.",Offend Dobby?
"Stop, Dobby!",Bad Dobby!,That was an awful thing to say.
"Dobby, shh!",Bad Dobby!,"Stop, Dobby!"
"Dobby, please stop!",Baaad Dobby!,"Dobby, shh!"
"Stop! Stop, Dobby.",Bad Dobby!,Bad Dobby.
Please be quiet!,"Stop! Stop, Dobby.",Bad Dobby!
Are you all right?,Please be quiet!,"Stop! Stop, Dobby."
