response,context,context/0
sweetie? Really?  Sweetie?,"I sure am . Come on, sweetie, I need a drink.","Grr.  Hi, you. You're back."
"So, it's over between me-and-works with Carlos girl.",Alright.,"Whoa-Whoa rabbits! Come on, I got that roof reserved."
"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?","Oh, that was fast.","So, it's over between me-and-works with Carlos girl."
I think I'm in love with you.,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?","Oh, that was fast."
"Thanks, bro",What?,I think I'm in love with you.
"Oh, this is lame.",So I threw a third party for Robin. On a Sunday night,"Great, see you tonight.  So that was Robin."
lame.,lame or Casual?,"Oh, this is lame."
Of course.,"Hello, Barney.","No, no."
Who? Who invited you? No one even know who you are!,You look well. Isn't it weird they invited both of us?,Of course.
Who is Carlos!?,"I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.",Who? Who invited you? No one even know who you are!
Ohhh.,Carlos,"No! Oh you thought that-oh, no! I c-okay yes. You got me-I--Anyway Robin, this is."
"Yeah well, the one is heading up to the roof.",She's not just one of them she's the one.,"Okay, buddy, time for the tough-talk. Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them."
"Unbelievable. That is just a recipe for disaster, they work together","My friends are goanna love you-like you-you know, as a friend.  Jackass.",I'd like that.
"Oh, please, what does Carlos have that I don't?",You jealous?,"Unbelievable. That is just a recipe for disaster, they work together"
I'm not sure I like her.,Ohh!!,"Stop the tape, rewind-play it again."
"You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's.",I had no idea why I hung out with Barney.,What's wrong with MacLaren's?
MacLaren's is this much fun. What I'm offering is the chance to have this much fun.,"Yeah, cause MacLaren's is fun...","You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's."
"This hand gesture thing doesn't really work on the phone, does it?","See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!",MacLaren's is this much fun. What I'm offering is the chance to have this much fun.
Get in the cab. Marshall you too.,No it doesn't.,"This hand gesture thing doesn't really work on the phone, does it?"
I understand.  Get in the cab.,"Oh, I wish I could... I think Lily and I are just goi...",Get in the cab. Marshall you too.
Uhh... because he's getting laid.,Why can Marshall say no?,I understand.  Get in the cab.
"Ted, what's the first syllable in rutting","It's not a rut, okay. It's a routine and I like it!",Consistently.
First we got to pick someone up at the airport.,"Alright, so what's this legendary plan.","Ted, what's the first syllable in rutting"
Just this one little thing and the rest of the night is ours.,"Okay, I'm outta here.",First we got to pick someone up at the airport.
I don't know. Maybe her? Or her.,"Why do you have those suitcases, and who are we picking up?",Just this one little thing and the rest of the night is ours.
"Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!",Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.,I don't know. Maybe her? Or her.
"False. Sidebar, tuck in your shirt. You look sketchy.",You've gotta be kidding me.,"Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!"
"Trust me, it's going to be legendary.",I'm sketchy?,"False. Sidebar, tuck in your shirt. You look sketchy."
We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!,"Don't say legendary, okay? You're too liberal with the word legendary.","Trust me, it's going to be legendary."
"Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move.",We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!,"Don't say legendary, okay? You're too liberal with the word legendary."
"Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?","Oh. Oh, hello!",Hey.
"Ted, you klutzy, great guy, you!","Alright, um, I think we need to refine our back-story first. How did we...","Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?"
Philly? That's where we're headed!,Philadelphia.,"Oh, where're you headed?"
"Yes, you will.  Follow them, tickets on me.",You are? Well...uh...guess we'll see you on the plane.,Philly? That's where we're headed!
"Hey, is that Marshall?  Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary.",That is awesome.,"Hey, guess where I am? I'm on a... ready? Plane to... ready?...Philadelphia."
"Yeah, yeah, yeah... I sent you some pictures on my phone, check it.  Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!","Man, I wish I could, guys, but...","Hey, is that Marshall?  Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary."
Let's go talk to those girls.,"Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.","Yeah, yeah, yeah... I sent you some pictures on my phone, check it.  Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!"
"Ted, you've been living your whole life in a seatbelt. It's time to unclick.","Whoa, whoa, whoa, the seatbelt light is on.",Let's go talk to those girls.
"Yeah, sorry, sorry.","Sir, seatbelt light's on.","Ted, you've been living your whole life in a seatbelt. It's time to unclick."
"Don't say you're going to kll someone in front of airport security, not cool.  Not cool.","Barney, I am going to kll you.","Passengers Mosby and Stinson? Please come with us, gentlemen. Keep your hands where I can see them."
This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.,"Don't say you're going to kll someone in front of airport security, not cool.  Not cool.","Barney, I am going to kll you."
Those bags were your responsibility.,"We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash.","Okay, yeah. I'm calm... I'm totally calm."
We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting.,"Look, this is all just... it's a misunderstanding.","Sir, please. We're assessing the bag situation."
"Believe it or not, that duff bag thing worked.","Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months.",We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting.
We are international businessmen...,"Yes, he's that lame. Tell them you're that lame!",Nobody's that lame.
"Dude, seriously, relax.",Sir! Lower your voice or we'll restrain you.,OH COME ON!
Exactly!  We have a lawyer?,We at least get to call our lawyer.,"Dude, seriously, relax."
"Relax, Ted. We didn't do anything wrong. And, B.T.W, we'd be out of here by now if you'd have tucked in your shirt.",You had to play the race card.,My lips are always like this
We're going to Sascha's?,"No, we can't just... we're going home!",Can't we just... just...
Sascha.  She's having friends over for drinks at her house. It's goanna be legen... wait for it...and I hope you're not lactose intolerant 'cuz the second half of that word is... dairy.,Who the hell is Sascha?,We're going to Sascha's?
Legendary!,No.,Sascha.  She's having friends over for drinks at her house. It's goanna be legen... wait for it...and I hope you're not lactose intolerant 'cuz the second half of that word is... dairy.
"Marshall, we're going to Sascha's!",Hello.,"No, Marshall, we're going back."
"Yes, we are.","No, we're not.","Marshall, we're going to Sascha's!"
"So, uh... you're Sascha's friends, huh?","So, Barney and I hit the town. Philadelphia, PA. Our first and only stop... Sascha's party.","Oh, damn it!"
Philly!,You know it.,"So, uh... you're Sascha's friends, huh?"
Philly!,Shh!,Philly!
"Did you hear that, Ted? Dana works security at the Liberty Bell.",I can't breathe!,"Really? Well I thought it was kinda weird, but if you're cool with it. Yeah. It's off and she's talking to some guy. Do you want me to go over and..."
Wow it must be really well cornered off over there. You ever go behind the rope and touch it?,I do okay.,"Did you hear that, Ted? Dana works security at the Liberty Bell."
"Ever, like, stick your head inside it?",Only all the time.,Wow it must be really well cornered off over there. You ever go behind the rope and touch it?
D'you ever lick it?,Yeah.,"Ever, like, stick your head inside it?"
Hmm... I bet nobody in history has ever licked the Liberty Bell! If someone were to pull that off I dare say it would be... what's the word?,"Nope, I have never licked it.",D'you ever lick it?
"Legendary, Ted, LEGENDARY!","Well, this is my stop.",Hmm... I bet nobody in history has ever licked the Liberty Bell! If someone were to pull that off I dare say it would be... what's the word?
Could have licked the Liberty Bell.,Hey!,"So it turns out Uncle Marshall really was the jealous type. Unfortunately, that guys boyfriend... also the jealous type."
"Bong, bong...",We're going to the airport.,Could have licked the Liberty Bell.
"Ted, Ted... you're not even looking.","Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!","Bong, bong..."
"Look, our forefathers died for the pursuit of happiness, okay. Not for the sit around and wait of happiness. Now if you want, you can go to the same bar, drink the same beer talk to the same people everyday, or you can lick the Liberty Bell! You can grab life by the crack and lick the crap out of it!","No, I'm not.","Ted, Ted... you're not even looking."
"Thanks, Leonard. Ted, you're missing out on a valuable life lesson!","That was beautiful, man!","Look, our forefathers died for the pursuit of happiness, okay. Not for the sit around and wait of happiness. Now if you want, you can go to the same bar, drink the same beer talk to the same people everyday, or you can lick the Liberty Bell! You can grab life by the crack and lick the crap out of it!"
"No, it has to be the two of us.","Look, I don't need you to teach me how to live, okay. I know how to live. If you want to go lick the Liberty Bell just go lick it yourself.","Thanks, Leonard. Ted, you're missing out on a valuable life lesson!"
"Because, you're my best friend, alright? You don't have to tell me I'm yours. But the way I see it, we're a team. Without you, I'm just the dynamic uno. You know what, fine. If you wanna go home... then we'll go home.",Why? Why do you need me?,"No, it has to be the two of us."
"Good,",Fine...we'll go lick the Liberty Bell!,"Because, you're my best friend, alright? You don't have to tell me I'm yours. But the way I see it, we're a team. Without you, I'm just the dynamic uno. You know what, fine. If you wanna go home... then we'll go home."
Booger.,"That's the crazy part. I've had this shirt for, like, six years... Until this morning I wasn't into it at all, but now it's like my tastes have changed.","Hot top, Bro, is it new?"
"Not some stupid word, Booger.",Barney's offering me fifty bucks to say some stupid word on a live news report.,"Yes, hello, Barney."
"What? Journalist? You do the little fluff pieces at the end of the news. Old people, babies, monkeys... that's not journalism, that's just things in a diaper.","But I'm not doing it, I am a journalist.","Not some stupid word, Booger."
"Of course not, because now you're saying Nipple and it's a hundred!  Step into my web.",So I'm not going to jeopardize my promotion by saying Booger for fifty bucks.,"City hall, Miss Thang!"
"Hold up, there are only two reasons to date a girl you've already dated. Breast, Implants.","Not Goonies, girls. What if there's someone from my past, who I thought was wrong for me at the time, but in fact she, like my shirt, is actually a perfect fit?","You're finally gonna watch Goonies AGAIN? Slow love, Chuck."
You dumped a prn star? Friendship over  FRIENDSHIP OVER!,"I just wasn't looking for a big commitment at the time, of course now a big commitment doesn't seem so bad... maybe I should call her? What do you guys think?",Well why'd you guys break up?
"There she is. Hey is it cold in here, because I can kind of see Robin's nickels? Now for your next challenge...",At least it's better than booger.  Booger.,"I said, Nipple on the news! That was so unprofessional! I said, Nipple on the news!"
"Oh, search your soul, Robin. You and I both know this wasn't about the money. Sure, Metro News One pays you jack and hey, a little green salad on the side's good for you, me and Mr. McGee.","No, there is not going to be another challenge, I don't care how much you offer me.","There she is. Hey is it cold in here, because I can kind of see Robin's nickels? Now for your next challenge..."
"Well baby really likes, is the thrill of pulling one over on those bean counters, who under appreciate you and still haven't promoted you. And for two more hundy-sticks, baby's going to look in the camera and say this","Seriously, who talks like that?","Oh, search your soul, Robin. You and I both know this wasn't about the money. Sure, Metro News One pays you jack and hey, a little green salad on the side's good for you, me and Mr. McGee."
Did you sleep with her sister?,I don't know!,Why would Natalie hang up on you?
Sleep with her mom?,No.,Did you sleep with her sister?
I'm losing interest in your story.,No.,Sleep with her mom?
"Know, that was a big mistake, Ted. You should've done it in person.","Okay, in my client's defense. Is there an unterrible way to break up with somebody? No. Personally I'd rather hear the bad news on an answering machine than face the humiliation in person.  It's the least painful way you can do it. Who are you calling?","Not exactly the point I was trying to make, Marshall. That is a terrible way to break up with someone."
Desperate Please-don't-leave-me sx is amazing.,Thank you.,"Know, that was a big mistake, Ted. You should've done it in person."
You know what else? My younger sister just got married and I'm about to turn thirty-sex. Fantastic.,"That was me then, okay? This is the new old shirt-wearing, sack-having Ted. I'm gonna make this right.",Well guess what? She cried! You just didn't have the sack to face those tears.
"You know, that Natalie... she's good times.",I have no idea. Some kind of yoga?,"Dude, what's Krav Maga?"
"She's probably on the subway by now. You could call her Voice Mail. Beep, dumped. Click. Done!",Ineffable... good word. So when are you going to do it?,"I know! I hate this. These past three weeks have been great. I should be in love with her, but I'm not feeling that thing. It's ineffable."
"Mm... Mm! Six words! You... look... fat... in... those... jeans..., you're free to go.","No, no. We're going to get you out of this. Okay, how about... It's not you it's me?","It doesn't matter, I already told her I am ready for a commitment, so... oh, my god... there's no way out... I'm going to have to marry her."
"Seriously, honey, men are working, here.","Ted, have you considered telling her the truth?","Mm... Mm! Six words! You... look... fat... in... those... jeans..., you're free to go."
"And great TV was had by all. Alright Scherbatsky, new challenge. And this one's big. But so, is the cash reward. For one thousand dollars, you heard me, all you have to do is get up there on the news and do one of these...",Want to talk mature? I just wrapped up a live newscast by honking my own boobs.,I have to do the mature thing.
"And as you do it, you say this, Elbert Ickey Woods. The bangles were fools to cut you in '91. Your 1521 rushing yards and your 27 touch downs will not be forgotten. So Coach Dave Shullah, screw you and your crappy steakhouse.",The Ickey Shuffle.,What the hell is that?
Ahh! This is it.,Well...,In your past sixteen years on the job what is your most exciting memory?
"Everyone, everyone... If I may direct your attention to the television. You're about to see something... amazing.","Oh, boy, here we go.",Ahh! This is it.
"Come on, baby... bring it home.","And them, in '72, Mickey Mantle rode my cab for the fourth time.","Everyone, everyone... If I may direct your attention to the television. You're about to see something... amazing."
"No, Marshall. That was beyond my wildest dreams",You planned that?,"Whoa!! OH! Oh, my god! I'm covered in horse crap! It's in my hair!! Oh my, ow... ow my knee."
But isn't it nice to know that people are watching?,It's in my hair!,My knee!
"Hey, Ted, you know what always picks me up when I'm down? Other people's misfortune. You missed something so amazing.",I'm bleeding internally.,"Oh, well you did the right thing. I'm proud of you."
Fine.,Please can we please have one person in this whole bar who didn't see it?,"Hey, Ted, you know what always picks me up when I'm down? Other people's misfortune. You missed something so amazing."
Okay!? Awesome!!,"Because tonight, I am getting us all into Okay.",I'm your bitch. Why this time?
"Okay is the name of a club. Yeah, it's supposed to be incredibly exclusive. This friend of mine once waited outside for two hours, he couldn't get in.","What's going on, did I just have a stroke?",Okay!? Awesome!!
"No... a friend of mine named, shut up.",A friend of yours named you?,"Okay is the name of a club. Yeah, it's supposed to be incredibly exclusive. This friend of mine once waited outside for two hours, he couldn't get in."
"Yeah, he just wants to show you his own VIP if you know what I mean...",He's even getting me into the VIP room.,"Nice going, Scherbatsky. You're becoming a long and difficult-to-spell household name."
... I know that the P is pen1s.,"Okay, what does VIP stand for in your universe?","Yeah, he just wants to show you his own VIP if you know what I mean..."
All the things you do when you know where the next ten thousand lays are coming from.,"Ever since then she's been signing him up for book clubs, cooking classes...","I like wine. I like tasting. You know I can party, let's do it. Let's rock it, maturity style!"
"Translation, she's ugly, she's ugly, she ugs in the ugly.","Oh, you are gonna love Kelly. She's fun, she's smart, she lives in the moment.","Kelly, who supposedly I'm gonna love?"
"So, do you have any other hot single fr...","Okay, I guess I can take her off your hands for an evening.","Oh, and she's totally hot."
And his hair was perfect.,Thank you.,Somebody spilled gorgeous all over it. Love it!
"One of the twenty-four similarities between girls and fish is that they're both attracted to shiny objects. You really never read my blog, do you?","Hey we're wearing the same shirt! Oh, wait no that's just my shirt reflected in yours.",And his hair was perfect.
What the hell happened to these two?,"Alright, well, have fun at your little disco, guys.","Alright, Tin-Man. Let's hit it."
"Wow, who knew being committed in a heterosexual relationship could make a guy so gay.","Yeah, it's going to be sweet, too. Like tonight we're tasting all these different wines, pairing them up with these cool gourmet cheeses...",Marshall and I are just growing up.
"My, oh, my there are some ferocious looking cutlets here tonight. Alright, hookup strategy, colon, find a cutlet; lock her in early, grind with her all night till she's mine.","Alright, cool kids are leaving now. Grandma, grandpa... don't wait up.","Wow, who knew being committed in a heterosexual relationship could make a guy so gay."
Question is: do these strategies ever not work for me? Either way the answer's about half the time.,Do strategies ever work for you?,"My, oh, my there are some ferocious looking cutlets here tonight. Alright, hookup strategy, colon, find a cutlet; lock her in early, grind with her all night till she's mine."
You think?,Whoa... this place in lourd!,It's... not that arbitrary...
"Okay, it's a little loud.",You think?,Whoa... this place in lourd!
"Oh hey, I can't see her face. Is she hot?","I'm bailing, see ya.",You shoulda snuck in with Brian Affleck.
Maybe theres...,...any aspirin?,...Do you have...
a machine in...,Maybe theres...,...any aspirin?
The restroom.,a machine in...,Maybe theres...
"Ted, bring your coat, we're leaving.",Barney.,Barney??
"That was my cousin, Leslie.","What? What happened to that, uh, cutlet you were grinding with?","Ted, bring your coat, we're leaving."
"No, no, no... we are not laughing about this, Ted. This is not going to be some funny story that we'll be telling in a couple months. It's not gonna be like, Hey, remember that time when you were grinding with... NO! And you know why? Because, italics, this night did not happen. And you promise me that you will never, ever, ever tell another soul what transpired here tonight. You promise. Promise",What?!,"That was my cousin, Leslie."
"Why, I didn't check a coat. And even if I did, on principle tip jars have become so...","Hey. Thanks for saving my night. I'll talk to you soon? Umm, hey... tip her, Barney.","No, no, no... we are not laughing about this, Ted. This is not going to be some funny story that we'll be telling in a couple months. It's not gonna be like, Hey, remember that time when you were grinding with... NO! And you know why? Because, italics, this night did not happen. And you promise me that you will never, ever, ever tell another soul what transpired here tonight. You promise. Promise"
FINE! Just... eh.,"Funny story, Barney was grinding with this girl all night...","Why, I didn't check a coat. And even if I did, on principle tip jars have become so..."
Eww.,"So, Marshall and Lily rediscovered their youth. It was nice, and then it got icky.",That's a handy new trick.
THEY PLAYED SOME GOOD SONGS TONIGHT.,"I'M SORRY, I JUST ASSUMMED YOU...",I MEAN I KNOW THINGS HAVE CHANGED SINCE I GOT ENGAGED BUT IT WOULD'VE BEEN NICE TO BE ASKED.
WHAT?,"I KNOW, I KNOW. IT JUST SEEMS LIKE SUDDENLY WE'RE LIVING IN TWO DIFFERENT WORLDS. MAYBE YOU'VE GOT MORE IN COMMON WITH BARNEY.",--HAD OTHER PLANS. I MEAN LATELY...
WHAT?,PROBLEM IS... YOU CAN'T DO ANY OF THAT COUPLE STUFF UNLESS YOU HAVE SOMEONE TO DO IT WITH. AND THE ONLY WAY I'M GOING TO FIND THAT SOMEONE IS BY GOING OUT DOING STUPID SINGLE STUFF WITH BARNEY.,"Oh, my god...I'm going to barf. Where's my purse, where's my purse?  I'm okay."
THAT PLACE MAKES GREAT SALADS!,"YOU KNOW, TED, I DON'T SAY THIS NEARLY ENOUGH BUT REALLY...",It wasn't.
"You know what I love about Halloween? It's the one night of the year chicks use to unleash their inner ho-bag. If a girl dresses up as she a witch, she's a slutty witch. If she's a cat, she's a slutty cat. If she's a nurse...",Tarzan nipple blue.,They rule. And yours is 100 wool so you won't get hypothermia like last year.
