response,context/0,context/1,context/2,context/3,context/4
Of course it was a line!,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",You mean you know Paul like I know Paul?,"Paul the Wine Guy? Oh yeah, I know Paul.",You know Paul?,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex!  So? Who?"
I can't believe you didn't know it was a line!,"I just thought he was nice, y'know?","All right, c'mere, gimme your feet.",Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,"Oh no, don't hate, you don't want to put that out into the universe.",I hate men!  I hate men!
I can't believe what I'm hearing here.,I just grabbed a spoon.,"See ya.... Waitwait, what's with you?",Goodnight.,Goodnight.,"Okay... okay, maybe I will..."
"Oh, you wouldn't know a great butt if it came up and bit ya.","I said that you had a nice butt, it's just not a great butt.",Yes!,"Oh, was I doing it again?",Would you stop?,What I said you had...
"Yeah, right!.......Y'serious?","What you guys don't understand is, for us, kissing is as important as any part of it.","Okay, so, I'm in Las Vegas... I'm Liza Minelli-","Ugh.  Sorry.  Okay, Las Vegas.","Ahh, miss?   More coffee?","Kids, new dream... I'm in Las Vegas."
....Are we still talking about sex?,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.","The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.","Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Absolutely.
"Yeah, sorry, the swallowing slowed me down.",Are you through with that?,...Then I've already seen this one!,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",Pregnant?!,I'm pregnant.
"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.","Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.","Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.","Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.","She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!","Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead."
Oh! Yeah!,"Easy Rach, we'll find it.  Won't we!","Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...","No, look, don't touch that!","Oh God, oh God, oh God oh God oh God oh God....","Yeah, it's beautiful."
"Alright, when'd'ya have it on last?",Oh! Yeah!,"Easy Rach, we'll find it.  Won't we!","Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...","No, look, don't touch that!","Oh God, oh God, oh God oh God oh God oh God...."
".....Well, this is still ruined, right?","I have no idea. No matter what I do, though, I'm still gonna be a father.",So what are you gonna do?,"Anyway, they want me to go down to this- sonogram thing with them tomorrow.","I mean presumably, the biggest part of your job is done.",What does she mean by 'involved'?
"Your folks are really that bad, huh?",And you knew about this?!,"Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.","No news, no little anecdotes to share with the folks?","...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.","Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer."
What are we supposed to be seeing here?,Well? Isn't that amazing?,I know.,Look at that.,Oh my God.,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now."
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Since when?,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.","What? He said 'we should do it again', that's good, right?",Ohh. Ouch.,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
Yeah. Cushions the blow.,And everybody knows this?,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Since when?
"Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.",So how does it feel knowing you're about to die?,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!","Uh, Ross.","That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.","Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
Thanks! Let's keep going.,"Hey, that was really good!","Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.",So how does it feel knowing you're about to die?,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!","Uh, Ross."
"I just wanna go back to my cell. 'Cause in my cell, I can smoke.","Okay. So. Whaddya want from me, Damone, huh?",Thanks! Let's keep going.,"Hey, that was really good!","Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.",So how does it feel knowing you're about to die?
What?,I think this is probably why Damone smokes in his cell alone.,Smoke away.,"I just wanna go back to my cell. 'Cause in my cell, I can smoke.","Okay. So. Whaddya want from me, Damone, huh?",Thanks! Let's keep going.
Whoah!,Not so much!,Relax your hand!,What?,I think this is probably why Damone smokes in his cell alone.,Smoke away.
Hey!,Hey!,Whoah!,Not so much!,Relax your hand!,What?
"No no no, I am not giving you a cigarette.",Alright.. okay. No. Give it to me.,"Alright, now try taking a puff.",Hey!,Hey!,Whoah!
Y'miss it?,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.","It's fine, it's fine. Look, do you wanna get this part, or not? Here.","No no no, I am not giving you a cigarette.",Alright.. okay. No. Give it to me.,"Alright, now try taking a puff."
That's ridiculous!,"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.","Nah, not so much. Alright, now we smoke.",Y'miss it?,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.","It's fine, it's fine. Look, do you wanna get this part, or not? Here."
"Y'okay, Phoebe?",Good for me!,"Yeah. Yeah, excellent.",Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!,Can I use.. either thumb?,That's ridiculous!
What are you talking about? Keep it!,"Yes, 'cause now I have to go down there, and deal with them.","Oh, Satan's minions at work again...",- and there's five hundred extra dollars in my account.,Easy.,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"
So when do we get to meet the guy?,"'S'going pretty good, y'know? It's nice, and, we're having fun.",This Alan again? How's it goin'?,"Alright. I'm gonna go change, I've got a date.","Oh, no! I- I can't drink this now!","All right! I'm putting it out, I'm putting it out."
"Let it go, Ross.","Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..","I know. I just wish that once, I'd bring a guy home that they actually liked.","Listen. As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing. I mean, they're your friends, they're just looking out after you.","I mean, why should I let them meet him? I mean, I bring a guy home, and within five minutes they're all over him. I mean, they're like- coyotes, picking off the weak members of the herd.",Nope. Schhorry.
"You can come in, but your filter-tipped little buddy has to stay outside!",Chandler? Do you promise to be good?,Yeah! We promise! We'll be good!,Do you all promise?,"Yeah, well, you didn't know Chi Chi.","Let it go, Ross."
Chandler! He's here!,It's Alan.,Hey. It's him.  Who is it?,What bank is this?,"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!","Hey, Pheebs."
Know what was great? The way his smile was kinda crooked.,Yeah.,And did you notice...?,Yeah!,Wait a minute! We're talking about someone that I'm going out with?,Loved him! Yeah! He's great!
Alan.,Fantastic! I have one question: How is that possible?,WE WON!! Thank you! Yes!,Well..,Hi.. how was the game?,Yeah...
...Does the knuckle-cracking bother everybody?,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?","Oh, why is it unfair?","Hey, this is so unfair!",It's worse than the thumb!,"Oh, hey, don't do that! Cut it out!"
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?","Well, I-I could live without it.",...Does the knuckle-cracking bother everybody?,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?","Oh, why is it unfair?","Hey, this is so unfair!"
"Oh,  you do, do you?","Oh, now, don't listen to him, Pheebs, I think it's endearing.","Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?","Well, I-I could live without it.",...Does the knuckle-cracking bother everybody?,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?"
Do you have any respect for your body?,"No, he'll be fine. It's the other five I'm worried about.","Well, he's a big boy, he'll get over it.",I know.. it's gonna be really hard.,"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!","Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing."
What's going on?,"And on my way over here, I stepped in gum. ...What is up with the universe?!",You're kidding. Oh my God.,"Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb.","Hey, I might!",Does anyone want the rest of this Pop-Tart?
Even nicer when everyone gets to wear their underwear..,Nothing. I just think it's nice when we're all here together.,What's going on?,"And on my way over here, I stepped in gum. ...What is up with the universe?!",You're kidding. Oh my God.,"Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb."
"Oh, God!","Uh, Joey..",Even nicer when everyone gets to wear their underwear..,Nothing. I just think it's nice when we're all here together.,What's going on?,"And on my way over here, I stepped in gum. ...What is up with the universe?!"
So that's it? It's over? Just like that?,We didn't change..,"No, nononono.. it's just.. things change. People change.",Is there somebody else?,"Okay. It's-it's about Alan. There's something that you should know. I mean, there's really no easy way to say this.. uh.. I've decided to break up with Alan.",There it is!
Okay!,"Look, I- I could go on pretending-","You know.. you let your guard down, you start to really care about someone, and I just- I-",So that's it? It's over? Just like that?,We didn't change..,"No, nononono.. it's just.. things change. People change."
Probably kill myself!,"Hey, Joey, what would you do if you were omnipotent?","Hey Joey. Hi. Hey, buddy.","See, there's always one guy.","Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.","Yeah, see.. you took mine. Chandler, what about you?"
"Hey, if Little Joey's dead, then I got no reason to live!",..Excuse me?,Probably kill myself!,"Hey, Joey, what would you do if you were omnipotent?","Hey Joey. Hi. Hey, buddy.","See, there's always one guy."
"You are? Ross, I'm sorry..","Joey, uh- OMnipotent.","Hey, if Little Joey's dead, then I got no reason to live!",..Excuse me?,Probably kill myself!,"Hey, Joey, what would you do if you were omnipotent?"
"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.",Thanks.,"Well, if you want, you can stay with Rachel and me tonight.","My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!",Why?,I got no sleep last night!
"Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.",You got waaaay too much free time.,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.",Thanks.,"Well, if you want, you can stay with Rachel and me tonight.","My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!"
"We love you, man.","Happy birthday, pal!","Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.",You got waaaay too much free time.,"...Ninety-five, ninety-six, ninety-seven. See, I told you! Less than a hundred steps from our place to here.",Thanks.
So?,"Funny, my birthday was seven months ago.","We love you, man.","Happy birthday, pal!","Hey! Here's the birthday boy! Ross, check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking you.",You got waaaay too much free time.
What's wrong with the twentieth?,Ohhh.,"Oh, I was hoping you wouldn't remember.","Oh my God, oh- is today the twentieth, October twentieth?","Well, aren't we Mr. The glass is half empty.","So, I'm guessing you had an extra ticket and couldn't decide which one of you got to bring a date?"
"The hell with hockey, let's all do that!","Today's the day Carol and I first.. consummated our physical relationship.  Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover.",Eleven days before Halloween.. all the good costumes are gone?,What's wrong with the twentieth?,Ohhh.,"Oh, I was hoping you wouldn't remember."
"C'mon, Ross!",I have no idea.,What are you doing?,Huh? Huh? Huh?,"The hell with hockey, let's all do that!","Today's the day Carol and I first.. consummated our physical relationship.  Sex. ..You know what, I-I'd better pass on the game. I think I'm just gonna go home and think about my ex-wife and her lesbian lover."
"Oh, you're fine, yeah, for a first job.","Oh, this is not that bad.","God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totallynot worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.","I worked in a Dairy Queen, why?","Wow, you worked in a mine?","I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed."
Leetch spots Messier in the crease- there's the pass!,...Poulet passes it up to Leetch!,And while we're on the subject of news..,"Well, guess who my dad's making partner in his firm?",So what's going on with you?,I know. I know! I'm a duplex.
What?,"Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we-  Sorry. Sorry.",We'll take a brief time out while Messier stops to look at some women's shoes.,Leetch spots Messier in the crease- there's the pass!,...Poulet passes it up to Leetch!,And while we're on the subject of news..
-Peaches?,"Peach pit. That night we, uh- we had-","Yes, Bunny?",Peach pit.,What?,"Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we-  Sorry. Sorry."
"Hey, that woman's got an ass like Carol's!  What? Thought we were trying to find stuff.","Then, uh, then we got dressed, and I-I... I walked her to the-  -the bus stop... I'm fine.",Could've been a peach.,"Actually, nectarines, but basically...",-Peaches?,"Peach pit. That night we, uh- we had-"
"C'mon, sit. Just sit down, sit.","No, actually I was just saying it looks like we're not sitting together. But now you mention it, there was ice there that night... It was the first frost...",What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?,"Sorry, sorry... Uh-oh.","Alright, c'mon!  Let's play Twister!","Uh- Rachel has left the building, can you call back?"
"Well, how long do you think it'll be?","Well, you'll have to wait your turn.","Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.","Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.","It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",'Scuse me.
"He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that.","Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?",I remember the moonlight coming through the window- and her face had the most incredible glow.,Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.,Yeah?,I think he's shy.
What?,My first time with Carol was...,Then what?,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...","Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?","Look, it's just a little more complicated..."
With Carol?  Oh.,It was my first time.,What?,My first time with Carol was...,Then what?,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you..."
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!","So in your whole life, you've only been with oneoh.",With Carol?  Oh.,It was my first time.,What?,My first time with Carol was...
Man. Can you believe he's only had sex with one woman?,"Yeah, drop it! Drop the towel! Please drop thewowww.","Oh, George, baby, drop the towel!",He is so cute!,Right- where we've been looking all night!,Where?
Really?,"I think it's great. Y'know, it's sweet, it's romantic...",Man. Can you believe he's only had sex with one woman?,"Yeah, drop it! Drop the towel! Please drop thewowww.","Oh, George, baby, drop the towel!",He is so cute!
"Oh, ah- the kid has it.","Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?","Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.","Oh, that's attractive.",Hi.,"Hey, buddy."
"Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me.","We can? All right, I'm tryin' that.",Come on! You guys can pee standing up.,"Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?",Would you let it go? It's not that big a deal.,Ohhh... I'm fine.
"No plans, huh?","So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!",Multiple orgasms!,"Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care.","Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me.","We can? All right, I'm tryin' that."
