episode,line,character
01x01,It's always been don't even think about it till you're thirty,Ted
01x01,Exactly-the guy doesn't even own a suit!,Barney
01x01,"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, Okay, I'm ready! Where is she?",Ted
01x01,and there she was.,Narrator
01x01,"It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, see that girl? I'm going to marry her someday",Narrator
01x01,"Hey Barney, see that girl?",Ted
01x01,"Hey, have you met Ted?",Barney
01x01,"Let me guess,  Ted?",Robin
01x01,"I'm sorry, Lily. I'm so sorry. Take us to the hospital.",Marshall
01x01,"Whoa, whoa, whoa-did you hit her?",Cabdriver
01x01,"Hit me? Please, this guy could barely even spank me in bed for fun. He's all like,  Wow, complete stranger.",Lily
01x01,"no, no, no, no-it's okay, go on.  So these, spankin's...you in pajamas or going naturelle",Cabdriver
01x01,So what do you do?,Ted
01x01,I'm a reporter for Metro News 1.,Robin
01x01,Oh.,Ted
01x01,"Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",Robin
01x01,"Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty.  Oh, your friends don't seem too happy.",Ted
01x01,"Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... The enemy.",Robin
01x01,You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.,Ted
01x01,She would love that! It does look fun in the movies.,Robin
01x01,"Hey, you wanna have dinner with me Saturday night?",Ted
01x01,"Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big  so my news is covering it.",Robin
01x01,That's going to take a week?,Ted
01x01,"Yeah, he's going to eat it too, it's another record.",Robin
01x01,"Hey, what's taking so long?",Robin's Dumped Friend
01x01,"Uh, I know this is a long shot, but how about tomorrow night?",Ted
01x01,that was fun.,Robin
01x01,De-wait for it-nied! Denied!,Barney
01x01,We're going out tomorrow night.,Ted
01x01,I thought we were playing laser tag tomorrow night?,Barney
01x01,"Yeah, I was never going to go play laser tag.",Ted
01x01,"The next night, I took her out to this little bistro in Brooklyn.",Narrator
01x01,Wow that is one bad-ass blue French horn.,Robin
01x01,Yeah.,Ted
01x01,Mhmm.,Robin
01x01,Sort of looks like a... Smurf pen1s.,Ted
01x01,"Son, a piece of advice. When you go on a first date you really don't wanna say smurf pen1s. Girls don't ordinarily like that.",Narrator
01x01,But that was no ordinary girl.,Narrator
01x01,Lilly?,Marshall
01x01,How long have you been sitting there!? Stupid eye patch.,Lily
01x01,"Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?",Ted
01x01,Oh let's see  she likes dogs?,Marshall
01x01,I've got five dogs.,Robin
01x01,...she drinks scotch?,Marshall
01x01,I love a scotch that's old enough to order its own scotch.,Robin
01x01,Can quote obscure lines from Ghostbusters?,Marshall
01x01,"Ray, when someone asks you if you're a god you say, Yes!",Robin
01x01,And I'm saving the best for last.,Ted
01x01,Do you want these?  I hate olives.,Robin
01x01,She hates olives! Awesome!,Marshall
01x01,The olive theory.,Lily
01x01,"The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance .",Ted
01x01,"You know, I've had a jar of olives just sitting in my fridge forever.",Robin
01x01,I can take them off your hands.,Ted
01x01,they're all yours.,Robin
01x01,"Oh, it is on! It is on  till the break of dawn.",Marshall
01x01,"wait, it's only the break of ten-thirty. What happened?",Lily
01x01,"I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.",Robin
01x01,No Green Clarinet?,Ted
01x01,No.,Robin
01x01,"Come on, no purple tuba?",Ted
01x01,"It's a smurf pen1s, we're no dice.",Robin
01x01,"there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!",Producer
01x01,"Um, alright. I'll be right there.  I'm sorry. I had a really great time tonight.",Robin
01x01,Yeah.,Ted
01x01,So? Did you kiss her?,Marshall
01x01,"No. The moment wasn't right.  Look, this woman could be my future wife; I want our first kiss to be amazing.",Ted
01x01,"Aww, Ted that's so sweet. So you chickened out like the little bitch.",Lily
01x01,What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,Ted
01x01,"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",Lily
01x01,"Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!",Barney
01x01,"Hey, listen. I need your opinion on something.",Ted
01x01,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!",Barney
01x01,So these guys think I chickened out. What do you think?,Ted
01x01,I can't believe you're still not wearing a SUIT!,Barney
01x01,She didn't even give me the signal.,Ted
01x01,"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!",Barney
01x01,Not if you don't get the signal.,Ted
01x01,Ee- Did Marshall give me the signal?,Barney
01x01,"No!  I didn't, I swear.",Marshall
01x01,"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.",Barney
01x01,"Urgh, I should've kissed her. What about when she gets back from Orlando?",Ted
01x01,A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.,Barney
01x01,There she is...,Ted
01x01,"Ooo. She's cute!  Hey Carl, turn it up!",Lily
01x01,"...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from",Robin
01x01,"Huh, guy didn't jump",Marshall
01x01,"Metro One News, back to you bill.",Robin
01x01,I'm goanna go kiss her. Right now.,Ted
01x01,"Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!",Marshall
01x01,"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.",Ted
01x01,"Actually, that is a perfect metaphor. By the way, did I congratulate you two?",Barney
01x01,I'm doing this.,Ted
01x01,Let's go,Lily
01x01,Word up!,Marshall
01x01,We're coming with you.,Lily
01x01,...Barney?,Ted
01x01,"Alright, but under one condition.",Barney
01x01,"look at you, you beautiful bstrd, you suited up! This is totally going in my blog!",Barney
01x01,Stop the car. Uh-pull over right here. I gotta do something.,Ted
01x01,"Excuse me, pardon me.",Ted
01x01,"Hey, HEY!",Waitor
01x01,"go, go, GO!  Everybody brings flowers.",Ted
01x01,Ted's goanna get it on with a TV reporter,Barney
01x01,"Kiss her, Ted. Kiss her good.",Lily
01x01,Kiss the crap out of that girl,Marshall
01x01,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story.",Ted
01x01,Why does he get to be the best man?  I'M YOUR BEST FRIEND!,Barney
01x01,"As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not.",Narrator
01x01,I've got five dogs.,Robin
01x01,"Not good, not good, not good, not good.",Ted
01x01,No!,Lily
01x01,Go back in there!,Marshall
01x01,You're wearing a suit!,Barney
01x01,Ted?,Robin
01x01,Hi!,Ted
01x01,Come on up.,Robin
01x01,He's in.,Marshall
01x01,"So,  Ranjit... you must've done it with a Lebanese girl.",Barney
01x01,Okay-that's my Barney Limit.,Lily
01x01,"Actually, I'm from Bangladesh.",Ranjit
01x01,The women hot there?,Barney
01x01,Here's a picture of my wife!,Ranjit
01x01,She's lovely.,Barney
01x01,"So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",Robin
01x01,I was just hoping to get those olives... that you said I could have.,Ted
01x01,Would you like those olives with some Gin and Vermouth?,Robin
01x01,Are you trying to get me drunk?,Ted
01x01,For starters,Robin
01x01,Thank you.,Ted
01x01,"So, Marshall. This Olive Theory based on you and Lily?",Barney
01x01,Yeah...,Marshall
01x01,"You hate olives? Lily loves them, you can't stand them.",Barney
01x01,"Yeah, hate olives.",Marshall
01x01,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?",Barney
01x01,You have to swear that this does not leave this cab.,Marshall
01x01,I swear.,Barney
01x01,I swear.,Ranjit
01x01,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.",Marshall
01x01,But you like olives!,Barney
01x01,"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",Marshall
01x01,"Marshall, I'm going to get you an early wedding present. Don't get married.",Barney
01x01,I think I like your Olive Theory.,Robin
01x01,I think I like your French Horn.,Ted
01x01,I think I like your nose.,Robin
01x01,I think I'm in love with you.,Ted
01x01,What?,Barney
01x01,What?,Son and Daughter
01x01,What?,Robin
01x01,"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",Barney
01x01,"Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women  Lily. Lily, I like olives.",Marshall
01x01,We'll make it work.,Lily
01x01,aww.,Ranjit
01x01,"So Orlando, you goanna hit Disney World?",Ted
01x01,You love me?,Robin
01x01,"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go.",Ted
01x01,Hold on.  Promised you these.,Robin
01x01,Olives. Thanks. I love you. What's wrong with me?,Ted
01x01,Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  'Cuz you're a pirate...,Barney
01x01,"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",Lily
01x01,It's been like twenty minutes. You think they're doin' it?,Marshall
01x01,You think they're doing it in front of the dogs?,Barney
01x01,Doggie style.,Marshall
01x01,I had this girl in college; she had a golden retriever-,Barney
01x01,"Okay, we can go to the bar, just stop talking.",Lily
01x01,Hit it Ranjit.,Barney
01x01,"So when you tell this story to your friends, could you avoid the word psycho? I prefer...eccentric.",Ted
01x01,"Good night, psycho",Robin
01x01,Great  Umm... how do I get to the F Train?,Ted
01x01,"Oh, um-two blocks  and take a right.",Robin
01x01,". I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.",Ted
01x01,Everyone thinks they're a good kisser.,Robin
01x01,"Oh, I've got references.",Ted
01x01,"Good night, Ted.",Robin
01x01,And I'm a good hand shaker,Ted
01x01,that's a pretty great hand shake.,Robin
01x01,"And that was it, probably never see her again.  What?",Ted
01x01,That was the signal!,Marshall
01x01,That long lingering handshake-you should've kissed her!,Lily
01x01,There's no such thing as the signal. But yeah-that was the signal.,Barney
01x01,Signal,Rangit
01x01,"Ah, Carl thank you. Something I gotta do.",Marshal
01x01,"By the way, you should've kissed her.",Carl
01x01,Carl!?  You guys weren't there.,Ted
01x01,I am so turned on right now.,Lily
01x01,"Guys, trust me. I've seen the signal. That was not the signal.",Ted
01x01,"Yeah Ted, we're not on you anymore.",Barney
01x01,To my fianc!,Marshall
01x01,to the future!,Lily
01x01,To one hell of a night!,Ranjit
01x01,That was not the signal!,Ted
01x01,"I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny.",Narrator
01x01,... it happens whether you plan it or not. I mean I...,Narrator
01x01,... never thought I'd see that girl again. But it...,Narrator
01x01,"...turns out, I was just too close...",Narrator
01x01,...to the puzzle to see the picture that was forming. Because that kids...,Narrator
01x01,"...is the true story, of how I met your Aunt Robin.",Narrator
01x01,Aunt Robin?,Son
01x01,I thought this was about how you met mom!,Daughter
01x01,Will you relax? I'm getting to it.  like I said:,Narrator
01x01,...it's a long story.,Narrator
01x02,"Okay, where was I?",Narrator
01x02,You were telling us how you met mom.,Daughter
01x02,In excruciating detail...,Son
01x02,"Right, so  back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.",Narrator
01x02,"I suggest we play a little game I like to call, Have you Met Ted?",Barney
01x02,"No, no, no-we're not playing Have you Met Ted!",Ted
01x02,"So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid",Narrator
01x02,I think I'm in love with you.,Ted
01x02,What?,Robin
01x02,"Oh, Dad.",Daughter
01x02,So then what happened?,Son
01x02,"Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her.",Narrator
01x02,"So you're not goanna call her? You went from, I think I'm in love with you to I'm not gonna call her?",Marshall
01x02,"I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin.  Robin!",Ted
01x02,Hey!,Robin
01x02,Look who I ran into!,Lily
01x02,Since when do you guys know each other?,Ted
01x02,"Uh... since about  Hello, Sailor!",Robin
01x02,They just got engaged.,Ted
01x02,"Well, I should get back to the station. See you guys.  Nice seeing you, Ted.",Robin
01x02,"Yeah, you too.  Damn it.",Ted
01x02,What?,Lily
01x02,I'm in love with her.,Ted
01x02,No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,Barney
01x02,I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,Ted
01x02,"Lily, you squeaked?",Ted
01x02,"She said something about me didn't she? Come on, spill it, Red.",Ted
01x02,Fine!,Lily
01x02,So what do we think of Ted?,Lily
01x02,Ted's something else.,Robin
01x02,"Huh... I'm gonna spin that as good. Lots of guys are something, I'm something else.",Ted
01x02,Comes on a little strong.,Robin
01x02,But...that's part of my charm.,Ted
01x02,But that's part of his charm.,Lily
01x02,"Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?",Robin
01x02,Are you kidding? This flapper-for knocks.,Lily
01x02,Oops...,Lily
01x02,"She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the happily ever after thing but you don't get there unless you play the game.",Ted
01x02,So're you gonna ask her out?,Marshall
01x02,"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out?",Ted
01x02,Did you guys get high?,Lily
01x02,I got it! I don't ask her out... I invite her to our party next Friday.,Ted
01x02,We're having a party next Friday?,Marshall
01x02,We are now-Casual,Ted
01x02,"Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.",Barney
01x02,You waited five minutes to tell me that?,Lily
01x02,Alright-so call her up!,Marshall
01x02,No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a chance encounter.,Ted
01x02,"that's great, Ted. You'll be the most Casual stalker ever.",Lily
01x02,"Now ever since Marshall put that ring on her finger, Lily had been...well... extra affectionate.",Narrator
01x02,"Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,",Marshall
01x02,"Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any.",Lily
01x02,No underwear?,Marshall
01x02,Not slightly.,Lily
01x02,"Guys, boundaries! There she is!",Ted
01x02,"Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus",Robin
01x02,75th in Columbus.,Ted
01x02,"where four year old, Leroy Ellensburg, climbed inside a grab a prize machine  and gotten stuck.",Robin
01x02,And on the pursuit of a stuffed purple giraffe.,Robin
01x02,We're clear,Cameraman
01x02,Ted?,Robin
01x02,"Robin, wow! What are the odds?",Ted
01x02,What are you doing here?,Robin
01x02,"Oh, you know, just-uh-Shopping for-uh-dip",Ted
01x02,"Yeah, kid stuck in a crane machine, how sweet of you to call it news.",Robin
01x02,"Wow, kid in a crane machine  You just had to have that toy didn't ya? Couldn't play the game like everyone else.",Ted
01x02,You're all sweaty!,Leroy
01x02,"Cute kid  Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.",Ted
01x02,"Oh, I'm going back home next weekend. It's too bad it's not tonight.",Robin
01x02,"It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying next Friday all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.",Ted
01x02,Hello?,Marshall
01x02,"No, no I'm just writing my paper. Hitting the books.",Marshall
01x02,"So, Gatsby, what are you goanna do when Robin shows up?",Marshall
01x02,"Okay, I got it all planned out.",Ted
01x02,"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, Hey, what's up? She says, Hey, nice place etcetera, etcetera. And then I say, Well make yourself at home, and I casually return to my conversation. Then, an hour later, Oh, you're still here? I say like I don't really care, but it's a nice surprise. And then very casually, Wanna see the roof?",Ted
01x02,The roof.,Lily and Marshall
01x02,Get her up to the roof and the roof takes care of the rest.,Ted
01x02,What's so special about the roof?,Barney
01x02,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",Lily
01x02,We do it up there sometimes.,Marshall
01x02,"Solid plan, my little friend.",Barney
01x02,We're the same height.,Ted
01x02,But may I suggest one little modification.,Barney
01x02,"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style.",Barney
01x02,That's not the plan.,Ted
01x02,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",Barney
01x02,Thank you.,Fantasy Girl
01x02,"Yeah, but she's not Robin.",Ted
01x02,"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?",Barney
01x02,"Barney, I don't wanna say-",Ted
01x02,"Aargh!  Scoping, beep, scoping, beep!",Barney
01x02,Man you're a dork.,Lily
01x02,"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?",Barney
01x02,"No, come on not this.",Ted
01x02,Hi! Have you met Ted?,Barney
01x02,No.,Tatiana
01x02,Hi.,Ted
01x02,Hi.,Tatiana
01x02,Do you know Marshall? Lily?,Barney
01x02,No.,Tatiana
01x02,"Hmm, do you know anyone at this party?",Barney
01x02,I work with Carlos.,Tatiana
01x02,"Excuse me,  Anyone know a Carlos?",Barney
01x02,No.,Ted
01x02,No.,Lily
01x02,On a silver platter! Bon appetite!,Barney
01x02,I don't think so.,Ted
01x02,"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",Barney
01x02,Sure,Tatiana
01x02,Whoa-whoa-Hey hey. I got that roof reserved!,Ted
01x02,"Dude, Robin's not coming.",Barney
01x02,"Hey, she's goanna show up.  She'll show up.",Ted
01x02,She didn't show up.,Narrator
01x02,At least it was a great party.,Lily
01x02,I ate like four whole cans of dip!,Marshall
01x02,You always know what to say old friend.,Ted
01x02,It's Robin.,Ted
01x02,Answer it!,Lily
01x02,"No, no, no. Not right away. I gotta seem casual.  Hello?",Ted
01x02,I'm so sorry I missed your party.,Robin
01x02,Who is this? Merideth?,Ted
01x02,Robin.,Robin
01x02,"Oh, Robin! Hey, yeah, guess you never showed up did you?",Ted
01x02,"no I got stuck at work, but they finally got that kid out of the crane machine.",Robin
01x02,Did he get to keep the purple giraffe?,Ted
01x02,"Yeah, they let him keep all the toys. He was in there a long time and little kids have smaller bladders.",Robin
01x02,I wish your party was tonight.,Robin
01x02,It is the party's tonight.  So that was Robin.,Ted
01x02,"What are you doing to me, man. I got a paper to write.",Marshall
01x02,I know I'm sorry. It's terrible,Ted
01x02,TED! TED WAIT-GET FRENCH ONION.  but it's gotta be like super quick.,Marshall
01x02,Oh!,Lily
01x02,And no cuddling after.,Marshall
01x02,I'm the luckiest girl alive,Lily
01x02,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",Barney
01x02,I have no idea who that is.,Ted
01x02,"She said she works with Carlos, who's Carlos?",Barney
01x02,I don't know any Carlos.,Ted
01x02,"Grr.  Hi, you. You're back.",Barney
01x02,"I sure am . Come on, sweetie, I need a drink.",Tatiana
01x02,sweetie? Really?  Sweetie?,Barney
01x02,"Whoa-Whoa rabbits! Come on, I got that roof reserved.",Ted
01x02,Alright.,Marshall
01x02,"So, it's over between me-and-works with Carlos girl.",Barney
01x02,"Oh, that was fast.",Ted
01x02,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?",Barney
01x02,I think I'm in love with you.,Barney
01x02,What?,Tatiana
01x02,"Thanks, bro",Barney
01x02,Glad I could help.,Ted
01x02,"What the-no, no, no, no-come on!",Ted
01x02,"Sorry, Ted.",Marshall
01x02,Great! What am I going to do when Robin shows up.  She'll show up.,Ted
01x02,She didn't show up.,Narrator
01x02,"Alright, we threw two parties. Everybody had fun. Everybody wanged, everybody chunged. Now the kid has got to get to work, and the kid is not to be disturbed. Repeat after me, I will not have sx with Marshall.",Marshall
01x02,I will not have sx with Marshall.,Lily and Ted
01x02,It's Robin.  Hello?,Ted
01x02,"Hi, Ted.",Robin
01x02,"Amanda? Oh, Denise-Sorry you totally sounded like Amanda",Ted
01x02,It's Robin.,Robin
01x02,"Oh, Robin--Hi.",Ted
01x02,I totally wanted to come; I got stuck at work again. I feel like I live there. I'm sorry I missed your party...again.,Robin
01x02,"Hey, ain't no thing but a chicken wing mamacita.  WHO AM I?",Ted
01x02,I guess there's no change your two-dayer turned into a three-dayer.,Robin
01x02,"Yeah. Last night people were like, KEEP IT GOIN' BRO! PARTY TRIFECTA!",Ted
01x02,"Wow, okay-well I'll be there.",Robin
01x02,"Great, see you tonight.  So that was Robin.",Ted
01x02,So I threw a third party for Robin. On a Sunday night,Narrator
01x02,"Oh, this is lame.",Barney
01x02,lame or Casual?,Ted
01x02,lame.,Barney
01x02,Or Casual?,Ted
01x02,Hey little old books. Ready for a little fifteen minute recess?,Lily
01x02,"Sorry, baby, I gotta work. I need all my blood  Anybody seen a big-ass book?",Marshall
01x02,"No, no.",Crowd
01x02,"Hello, Barney.",Tatiana
01x02,Of course.,Barney
01x02,You look well. Isn't it weird they invited both of us?,Tatiana
01x02,Who? Who invited you? No one even know who you are!,Barney
01x02,"I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.",Tatiana
01x02,Who is Carlos!?,Barney
01x02,"Okay, where the hell is my-OHH!",Marshall
01x02,so you threw all these parties for me?,Robin
01x02,"No! Oh you thought that-oh, no! I c-okay yes. You got me-I--Anyway Robin, this is.",Ted
01x02,Carlos,Carlos
01x02,Ohhh.,Barney
01x02,"She's still talking to Carlos. I can still win this, it's not over.",Ted
01x02,"Okay, buddy, time for the tough-talk. Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them.",Lily
01x02,She's not just one of them she's the one.,Ted
01x02,"Yeah well, the one is heading up to the roof.",Barney
01x02,What are you gonna do?,Marshall
01x02,"Nothing. It's a game, I gotta just-keep playing it.",Ted
01x02,Hey.,Robin
01x02,"Hey. Carlos, can you give us a minute?",Ted
01x02,"Hey, no sweat hombre.",Carlos
