response,context/0,context/1,context/2,context/3,context/4
how does Carl land a Lebanese girl?,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,OH!,I don't know why I was so scared of this. Pretty easy right?,aww,"No, but dibs. Where's that champagne? I wanna drink a toast with my fianc."
Exactly-the guy doesn't even own a suit!,It's always been don't even think about it till you're thirty,how does Carl land a Lebanese girl?,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,OH!,I don't know why I was so scared of this. Pretty easy right?
"Hey, have you met Ted?","Hey Barney, see that girl?","It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, see that girl? I'm going to marry her someday",and there she was.,"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, Okay, I'm ready! Where is she?",Exactly-the guy doesn't even own a suit!
De-wait for it-nied! Denied!,that was fun.,"Uh, I know this is a long shot, but how about tomorrow night?","Hey, what's taking so long?","Yeah, he's going to eat it too, it's another record.",That's going to take a week?
I thought we were playing laser tag tomorrow night?,We're going out tomorrow night.,De-wait for it-nied! Denied!,that was fun.,"Uh, I know this is a long shot, but how about tomorrow night?","Hey, what's taking so long?"
"Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!","Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,"Aww, Ted that's so sweet. So you chickened out like the little bitch.","No. The moment wasn't right.  Look, this woman could be my future wife; I want our first kiss to be amazing.",So? Did you kiss her?
"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!","Hey, listen. I need your opinion on something.","Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!","Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,"Aww, Ted that's so sweet. So you chickened out like the little bitch."
I can't believe you're still not wearing a SUIT!,So these guys think I chickened out. What do you think?,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!","Hey, listen. I need your opinion on something.","Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I klled you Connor; don't make me get your mom!","Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him."
"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!",She didn't even give me the signal.,I can't believe you're still not wearing a SUIT!,So these guys think I chickened out. What do you think?,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!","Hey, listen. I need your opinion on something."
Ee- Did Marshall give me the signal?,Not if you don't get the signal.,"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!",She didn't even give me the signal.,I can't believe you're still not wearing a SUIT!,So these guys think I chickened out. What do you think?
"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.","No!  I didn't, I swear.",Ee- Did Marshall give me the signal?,Not if you don't get the signal.,"What is she goanna-is she goanna bat her eyes at you in Morse code  Kiss me-No, you just kiss her!",She didn't even give me the signal.
A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.,"Urgh, I should've kissed her. What about when she gets back from Orlando?","But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.","No!  I didn't, I swear.",Ee- Did Marshall give me the signal?,Not if you don't get the signal.
"Actually, that is a perfect metaphor. By the way, did I congratulate you two?","I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.","Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!",I'm goanna go kiss her. Right now.,"Metro One News, back to you bill.","Huh, guy didn't jump"
"Alright, but under one condition.",...Barney?,We're coming with you.,Word up!,Let's go,I'm doing this.
"look at you, you beautiful bstrd, you suited up! This is totally going in my blog!","Alright, but under one condition.",...Barney?,We're coming with you.,Word up!,Let's go
Ted's goanna get it on with a TV reporter,"go, go, GO!  Everybody brings flowers.","Hey, HEY!","Excuse me, pardon me.",Stop the car. Uh-pull over right here. I gotta do something.,"look at you, you beautiful bstrd, you suited up! This is totally going in my blog!"
Why does he get to be the best man?  I'M YOUR BEST FRIEND!,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story.",Kiss the crap out of that girl,"Kiss her, Ted. Kiss her good.",Ted's goanna get it on with a TV reporter,"go, go, GO!  Everybody brings flowers."
You're wearing a suit!,Go back in there!,No!,"Not good, not good, not good, not good.",I've got five dogs.,"As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not."
"So,  Ranjit... you must've done it with a Lebanese girl.",He's in.,Come on up.,Hi!,Ted?,You're wearing a suit!
The women hot there?,"Actually, I'm from Bangladesh.",Okay-that's my Barney Limit.,"So,  Ranjit... you must've done it with a Lebanese girl.",He's in.,Come on up.
She's lovely.,Here's a picture of my wife!,The women hot there?,"Actually, I'm from Bangladesh.",Okay-that's my Barney Limit.,"So,  Ranjit... you must've done it with a Lebanese girl."
"So, Marshall. This Olive Theory based on you and Lily?",Thank you.,For starters,Are you trying to get me drunk?,Would you like those olives with some Gin and Vermouth?,I was just hoping to get those olives... that you said I could have.
"You hate olives? Lily loves them, you can't stand them.",Yeah...,"So, Marshall. This Olive Theory based on you and Lily?",Thank you.,For starters,Are you trying to get me drunk?
"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?","Yeah, hate olives.","You hate olives? Lily loves them, you can't stand them.",Yeah...,"So, Marshall. This Olive Theory based on you and Lily?",Thank you.
I swear.,You have to swear that this does not leave this cab.,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?","Yeah, hate olives.","You hate olives? Lily loves them, you can't stand them.",Yeah...
But you like olives!,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.",I swear.,I swear.,You have to swear that this does not leave this cab.,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"
"Marshall, I'm going to get you an early wedding present. Don't get married.","Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",But you like olives!,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, Sure... I hate olives.",I swear.,I swear.
What?,I think I'm in love with you.,I think I like your nose.,I think I like your French Horn.,I think I like your Olive Theory.,"Marshall, I'm going to get you an early wedding present. Don't get married."
"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",What?,What?,What?,I think I'm in love with you.,I think I like your nose.
Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  'Cuz you're a pirate...,Olives. Thanks. I love you. What's wrong with me?,Hold on.  Promised you these.,"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go.",You love me?,"So Orlando, you goanna hit Disney World?"
You think they're doing it in front of the dogs?,It's been like twenty minutes. You think they're doin' it?,"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  'Cuz you're a pirate...,Olives. Thanks. I love you. What's wrong with me?,Hold on.  Promised you these.
I had this girl in college; she had a golden retriever-,Doggie style.,You think they're doing it in front of the dogs?,It's been like twenty minutes. You think they're doin' it?,"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  'Cuz you're a pirate...
Hit it Ranjit.,"Okay, we can go to the bar, just stop talking.",I had this girl in college; she had a golden retriever-,Doggie style.,You think they're doing it in front of the dogs?,It's been like twenty minutes. You think they're doin' it?
There's no such thing as the signal. But yeah-that was the signal.,That long lingering handshake-you should've kissed her!,That was the signal!,"And that was it, probably never see her again.  What?",that's a pretty great hand shake.,And I'm a good hand shaker
"Yeah Ted, we're not on you anymore.","Guys, trust me. I've seen the signal. That was not the signal.",I am so turned on right now.,Carl!?  You guys weren't there.,"By the way, you should've kissed her.","Ah, Carl thank you. Something I gotta do."
"I suggest we play a little game I like to call, Have you Met Ted?","Right, so  back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.",In excruciating detail...,You were telling us how you met mom.,"Okay, where was I?",...it's a long story.
No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,I'm in love with her.,What?,"Yeah, you too.  Damn it.","Well, I should get back to the station. See you guys.  Nice seeing you, Ted.",They just got engaged.
"Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.",We are now-Casual,We're having a party next Friday?,I got it! I don't ask her out... I invite her to our party next Friday.,Did you guys get high?,"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out?"
What's so special about the roof?,Get her up to the roof and the roof takes care of the rest.,The roof.,"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, Hey, what's up? She says, Hey, nice place etcetera, etcetera. And then I say, Well make yourself at home, and I casually return to my conversation. Then, an hour later, Oh, you're still here? I say like I don't really care, but it's a nice surprise. And then very casually, Wanna see the roof?","Okay, I got it all planned out.","So, Gatsby, what are you goanna do when Robin shows up?"
"Solid plan, my little friend.",We do it up there sometimes.,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",What's so special about the roof?,Get her up to the roof and the roof takes care of the rest.,The roof.
But may I suggest one little modification.,We're the same height.,"Solid plan, my little friend.",We do it up there sometimes.,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",What's so special about the roof?
"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style.",But may I suggest one little modification.,We're the same height.,"Solid plan, my little friend.",We do it up there sometimes.,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof."
"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",That's not the plan.,"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style.",But may I suggest one little modification.,We're the same height.,"Solid plan, my little friend."
"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?","Yeah, but she's not Robin.",Thank you.,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",That's not the plan.,"That foxy young thing you were chatting up, take her up to the roof and have sx with her! Crazy monkey-style."
"Aargh!  Scoping, beep, scoping, beep!","Barney, I don't wanna say-","Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?","Yeah, but she's not Robin.",Thank you.,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!"
"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?",Man you're a dork.,"Aargh!  Scoping, beep, scoping, beep!","Barney, I don't wanna say-","Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?","Yeah, but she's not Robin."
Hi! Have you met Ted?,"No, come on not this.","beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?",Man you're a dork.,"Aargh!  Scoping, beep, scoping, beep!","Barney, I don't wanna say-"
Do you know Marshall? Lily?,Hi.,Hi.,No.,Hi! Have you met Ted?,"No, come on not this."
"Hmm, do you know anyone at this party?",No.,Do you know Marshall? Lily?,Hi.,Hi.,No.
"Excuse me,  Anyone know a Carlos?",I work with Carlos.,"Hmm, do you know anyone at this party?",No.,Do you know Marshall? Lily?,Hi.
On a silver platter! Bon appetite!,No.,No.,"Excuse me,  Anyone know a Carlos?",I work with Carlos.,"Hmm, do you know anyone at this party?"
"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",I don't think so.,On a silver platter! Bon appetite!,No.,No.,"Excuse me,  Anyone know a Carlos?"
"Dude, Robin's not coming.",Whoa-whoa-Hey hey. I got that roof reserved!,Sure,"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",I don't think so.,On a silver platter! Bon appetite!
"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",I'm the luckiest girl alive,And no cuddling after.,Oh!,TED! TED WAIT-GET FRENCH ONION.  but it's gotta be like super quick.,I know I'm sorry. It's terrible
"She said she works with Carlos, who's Carlos?",I have no idea who that is.,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",I'm the luckiest girl alive,And no cuddling after.,Oh!
"Grr.  Hi, you. You're back.",I don't know any Carlos.,"She said she works with Carlos, who's Carlos?",I have no idea who that is.,"Oh, you were so right about the roof. The roof. The roof is on fire, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?",I'm the luckiest girl alive
sweetie? Really?  Sweetie?,"I sure am . Come on, sweetie, I need a drink.","Grr.  Hi, you. You're back.",I don't know any Carlos.,"She said she works with Carlos, who's Carlos?",I have no idea who that is.
"So, it's over between me-and-works with Carlos girl.",Alright.,"Whoa-Whoa rabbits! Come on, I got that roof reserved.",sweetie? Really?  Sweetie?,"I sure am . Come on, sweetie, I need a drink.","Grr.  Hi, you. You're back."
"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?","Oh, that was fast.","So, it's over between me-and-works with Carlos girl.",Alright.,"Whoa-Whoa rabbits! Come on, I got that roof reserved.",sweetie? Really?  Sweetie?
I think I'm in love with you.,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?","Oh, that was fast.","So, it's over between me-and-works with Carlos girl.",Alright.,"Whoa-Whoa rabbits! Come on, I got that roof reserved."
"Thanks, bro",What?,I think I'm in love with you.,"Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?","Oh, that was fast.","So, it's over between me-and-works with Carlos girl."
"Oh, this is lame.",So I threw a third party for Robin. On a Sunday night,"Great, see you tonight.  So that was Robin.","Wow, okay-well I'll be there.","Yeah. Last night people were like, KEEP IT GOIN' BRO! PARTY TRIFECTA!",I guess there's no change your two-dayer turned into a three-dayer.
lame.,lame or Casual?,"Oh, this is lame.",So I threw a third party for Robin. On a Sunday night,"Great, see you tonight.  So that was Robin.","Wow, okay-well I'll be there."
Of course.,"Hello, Barney.","No, no.","Sorry, baby, I gotta work. I need all my blood  Anybody seen a big-ass book?",Hey little old books. Ready for a little fifteen minute recess?,Or Casual?
Who? Who invited you? No one even know who you are!,You look well. Isn't it weird they invited both of us?,Of course.,"Hello, Barney.","No, no.","Sorry, baby, I gotta work. I need all my blood  Anybody seen a big-ass book?"
Who is Carlos!?,"I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.",Who? Who invited you? No one even know who you are!,You look well. Isn't it weird they invited both of us?,Of course.,"Hello, Barney."
Ohhh.,Carlos,"No! Oh you thought that-oh, no! I c-okay yes. You got me-I--Anyway Robin, this is.",so you threw all these parties for me?,"Okay, where the hell is my-OHH!",Who is Carlos!?
"Yeah well, the one is heading up to the roof.",She's not just one of them she's the one.,"Okay, buddy, time for the tough-talk. Robin seems great. But let's look at the facts, you wanna get married and right now there's a million women in New York looking for exactly you, but Robin ain't one of them.","She's still talking to Carlos. I can still win this, it's not over.",Ohhh.,Carlos
"Unbelievable. That is just a recipe for disaster, they work together","My friends are goanna love you-like you-you know, as a friend.  Jackass.",I'd like that.,"Or, you know-now.  We could all get a beer now.",yeah.,"Well-uh-maybe in a few months after it's not so fresh, we could all-uh...you know, get a beer."
"Oh, please, what does Carlos have that I don't?",You jealous?,"Unbelievable. That is just a recipe for disaster, they work together","My friends are goanna love you-like you-you know, as a friend.  Jackass.",I'd like that.,"Or, you know-now.  We could all get a beer now."
I'm not sure I like her.,Ohh!!,"Stop the tape, rewind-play it again.",Ohh!!,a date tonight?,"Oh, please, what does Carlos have that I don't?"
"You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's.",I had no idea why I hung out with Barney.,What's wrong with MacLaren's?,You guys talking to each other? Nobody's listening.,Let's go to MacLaren's.,Why don't we go to MacLaren's?
MacLaren's is this much fun. What I'm offering is the chance to have this much fun.,"Yeah, cause MacLaren's is fun...","You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's.",I had no idea why I hung out with Barney.,What's wrong with MacLaren's?,You guys talking to each other? Nobody's listening.
"This hand gesture thing doesn't really work on the phone, does it?","See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!",MacLaren's is this much fun. What I'm offering is the chance to have this much fun.,"Yeah, cause MacLaren's is fun...","You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's.",I had no idea why I hung out with Barney.
Get in the cab. Marshall you too.,No it doesn't.,"This hand gesture thing doesn't really work on the phone, does it?","See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!",MacLaren's is this much fun. What I'm offering is the chance to have this much fun.,"Yeah, cause MacLaren's is fun..."
I understand.  Get in the cab.,"Oh, I wish I could... I think Lily and I are just goi...",Get in the cab. Marshall you too.,No it doesn't.,"This hand gesture thing doesn't really work on the phone, does it?","See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!"
Uhh... because he's getting laid.,Why can Marshall say no?,I understand.  Get in the cab.,"Oh, I wish I could... I think Lily and I are just goi...",Get in the cab. Marshall you too.,No it doesn't.
"Ted, what's the first syllable in rutting","It's not a rut, okay. It's a routine and I like it!",Consistently.,Uhh... because he's getting laid.,Why can Marshall say no?,I understand.  Get in the cab.
First we got to pick someone up at the airport.,"Alright, so what's this legendary plan.","Ted, what's the first syllable in rutting","It's not a rut, okay. It's a routine and I like it!",Consistently.,Uhh... because he's getting laid.
Just this one little thing and the rest of the night is ours.,"Okay, I'm outta here.",First we got to pick someone up at the airport.,"Alright, so what's this legendary plan.","Ted, what's the first syllable in rutting","It's not a rut, okay. It's a routine and I like it!"
I don't know. Maybe her? Or her.,"Why do you have those suitcases, and who are we picking up?",Just this one little thing and the rest of the night is ours.,"Okay, I'm outta here.",First we got to pick someone up at the airport.,"Alright, so what's this legendary plan."
"Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!",Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.,I don't know. Maybe her? Or her.,"Why do you have those suitcases, and who are we picking up?",Just this one little thing and the rest of the night is ours.,"Okay, I'm outta here."
"False. Sidebar, tuck in your shirt. You look sketchy.",You've gotta be kidding me.,"Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!",Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.,I don't know. Maybe her? Or her.,"Why do you have those suitcases, and who are we picking up?"
"Trust me, it's going to be legendary.",I'm sketchy?,"False. Sidebar, tuck in your shirt. You look sketchy.",You've gotta be kidding me.,"Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!",Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.
We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!,"Don't say legendary, okay? You're too liberal with the word legendary.","Trust me, it's going to be legendary.",I'm sketchy?,"False. Sidebar, tuck in your shirt. You look sketchy.",You've gotta be kidding me.
"Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move.",We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!,"Don't say legendary, okay? You're too liberal with the word legendary.","Trust me, it's going to be legendary.",I'm sketchy?,"False. Sidebar, tuck in your shirt. You look sketchy."
"Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?","Oh. Oh, hello!",Hey.,I guess that's one drawback to being engaged. I'm sure that's why he didn't...,"Oh, for you it's six dollars.",Really? Sweet.
"Ted, you klutzy, great guy, you!","Alright, um, I think we need to refine our back-story first. How did we...","Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?","Oh. Oh, hello!",Hey.,I guess that's one drawback to being engaged. I'm sure that's why he didn't...
Philly? That's where we're headed!,Philadelphia.,"Oh, where're you headed?",Laura.,"So, hi... I'm Ted.","It's fine, oh, you were a little shaky on your landing. I'd give you a 9.2."
"Yes, you will.  Follow them, tickets on me.",You are? Well...uh...guess we'll see you on the plane.,Philly? That's where we're headed!,Philadelphia.,"Oh, where're you headed?",Laura.
"Hey, is that Marshall?  Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary.",That is awesome.,"Hey, guess where I am? I'm on a... ready? Plane to... ready?...Philadelphia.",Yeah.,Are you alright?,"What's up, Ted?"
"Yeah, yeah, yeah... I sent you some pictures on my phone, check it.  Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!","Man, I wish I could, guys, but...","Hey, is that Marshall?  Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary.",That is awesome.,"Hey, guess where I am? I'm on a... ready? Plane to... ready?...Philadelphia.",Yeah.
Let's go talk to those girls.,"Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.","Yeah, yeah, yeah... I sent you some pictures on my phone, check it.  Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!","Man, I wish I could, guys, but...","Hey, is that Marshall?  Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary.",That is awesome.
"Ted, you've been living your whole life in a seatbelt. It's time to unclick.","Whoa, whoa, whoa, the seatbelt light is on.",Let's go talk to those girls.,"Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.","Yeah, yeah, yeah... I sent you some pictures on my phone, check it.  Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!","Man, I wish I could, guys, but..."
"Yeah, sorry, sorry.","Sir, seatbelt light's on.","Ted, you've been living your whole life in a seatbelt. It's time to unclick.","Whoa, whoa, whoa, the seatbelt light is on.",Let's go talk to those girls.,"Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that."
"Don't say you're going to kll someone in front of airport security, not cool.  Not cool.","Barney, I am going to kll you.","Passengers Mosby and Stinson? Please come with us, gentlemen. Keep your hands where I can see them.","We're on a Tarmac in Philadelphia, crazy adventure.",But we're on an adventure!,"Marshall, don't come to Philly."
This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.,"Don't say you're going to kll someone in front of airport security, not cool.  Not cool.","Barney, I am going to kll you.","Passengers Mosby and Stinson? Please come with us, gentlemen. Keep your hands where I can see them.","We're on a Tarmac in Philadelphia, crazy adventure.",But we're on an adventure!
Those bags were your responsibility.,"We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash.","Okay, yeah. I'm calm... I'm totally calm.","Sir, I'm going to have to ask you to remain calm.","You demand!? No, no, no, no, no... he does not demand. We... we... we have no demands!",This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.
We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting.,"Look, this is all just... it's a misunderstanding.","Sir, please. We're assessing the bag situation.",They were your bags.,Those bags were your responsibility.,"We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash."
