response,context/0,context/1,context/2,context/3,context/4
La-la-la-la...ohhh!,"Oh, I wish I could, but I don't want to.","Hey Pheebs, you wanna help?","Okay, sure.","Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day.","Yes, and we're very excited about it."
"Oh no, don't hate, you don't want to put that out into the universe.",I hate men!  I hate men!,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,"Why?! Why? Why, why would anybody do something like that?",Of course it was a line!,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years."
"All right, c'mere, gimme your feet.",Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,"Oh no, don't hate, you don't want to put that out into the universe.",I hate men!  I hate men!,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,"Why?! Why? Why, why would anybody do something like that?"
"Give her a break, it's hard being on your own for the first time.",I know that. That's why I was getting married.,"C'mon, you can't live off your parents your whole life.","Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.",Um... my... father.,And who pays for that?
"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",Thank you.,"Give her a break, it's hard being on your own for the first time.",I know that. That's why I was getting married.,"C'mon, you can't live off your parents your whole life.","Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want."
I can't believe what I'm hearing here...,I can't believe what I'm hearing here.,I just grabbed a spoon.,"See ya.... Waitwait, what's with you?",Goodnight.,Goodnight.
What I said you had...,What? I-I said you had a-,I can't believe what I'm hearing here...,I can't believe what I'm hearing here.,I just grabbed a spoon.,"See ya.... Waitwait, what's with you?"
"Oh, was I doing it again?",Would you stop?,What I said you had...,What? I-I said you had a-,I can't believe what I'm hearing here...,I can't believe what I'm hearing here.
"Oh, yeah!","Yeah, right!.......Y'serious?","What you guys don't understand is, for us, kissing is as important as any part of it.","Okay, so, I'm in Las Vegas... I'm Liza Minelli-","Ugh.  Sorry.  Okay, Las Vegas.","Ahh, miss?   More coffee?"
...Then I've already seen this one!,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",Pregnant?!,I'm pregnant.,"Why- why are you here, Carol?","Marty's still totally paranoid. Oh, and, uh-"
"She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!","Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",Whose little ball of paper is this?!,"Yeah, sorry, the swallowing slowed me down.",Are you through with that?,...Then I've already seen this one!
"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.","Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.","Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.","She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!","Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead.",Whose little ball of paper is this?!
"Yeah, it's beautiful.",Has anybody seen my engagement ring?,Eeaagh!,Ugly Naked Guy got a Thighmaster!,What?,"Ew, ew, ew, ew ew ew ew ew!"
"No, look, don't touch that!","Oh God, oh God, oh God oh God oh God oh God....","Yeah, it's beautiful.",Has anybody seen my engagement ring?,Eeaagh!,Ugly Naked Guy got a Thighmaster!
Doy! Probably right before she lost it!,"Alright, when'd'ya have it on last?",Oh! Yeah!,"Easy Rach, we'll find it.  Won't we!","Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...","No, look, don't touch that!"
Ooh! I found it!,Carol's pregnant.,Wow. That is not a happy hi.,.....Hi.,Boys? We're going in.,I just... can't do it.
She is so great! I miss her.,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.","Well now, how-how do you fit into this whole thing?","Kinda puts that whole pillow thing in perspective, huh, Mon?","Yeah. Do that for another two hours, you might be where I am right about now.",W-w-wh-... wha-... w-w-w-...
"Y'know, it's even worse when you're twins.",Must pee.,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.","Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.","Your folks are really that bad, huh?",And you knew about this?!
"Yeah. We don't speak. She's like this high-powered, driven career type.",You're twins?,"Y'know, it's even worse when you're twins.",Must pee.,"Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours.","Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
She's a waitress.,What does she do?,"Yeah. We don't speak. She's like this high-powered, driven career type.",You're twins?,"Y'know, it's even worse when you're twins.",Must pee.
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","I dunno, but.. I think it's about to attack the Enterprise.",What are we supposed to be seeing here?,Well? Isn't that amazing?,I know.,Look at that.
Okay!,"Then don't do that, alright?","You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","I dunno, but.. I think it's about to attack the Enterprise.",What are we supposed to be seeing here?,Well? Isn't that amazing?
Hi guys!,"Okay, I know it was a cheap shot, but I feel so much better now.",Oh shut up!,You're gonna be an aunt.,Am not!,"You are, you're welling up."
"Um, not so good. He walked me to the subway and said 'We should do this again!'","Hey. Oh, oh, how'd it go?","Hey, Pheebs! Hi!",Hi guys!,"Okay, I know it was a cheap shot, but I feel so much better now.",Oh shut up!
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Since when?,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.","What? He said 'we should do it again', that's good, right?"
"Yeah- no- I'm just- it's, I haven't worked- It's my bank.","Y'okay, Phoebe?",Good for me!,"Yeah. Yeah, excellent.",Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!,Can I use.. either thumb?
"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-",What did they do to you?,"Yeah- no- I'm just- it's, I haven't worked- It's my bank.","Y'okay, Phoebe?",Good for me!,"Yeah. Yeah, excellent."
- and there's five hundred extra dollars in my account.,Easy.,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-",What did they do to you?,"Yeah- no- I'm just- it's, I haven't worked- It's my bank.","Y'okay, Phoebe?"
"Yes, 'cause now I have to go down there, and deal with them.","Oh, Satan's minions at work again...",- and there's five hundred extra dollars in my account.,Easy.,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-",What did they do to you?
"It's not mine, I didn't earn it, if I kept it, it would be like stealing.",What are you talking about? Keep it!,"Yes, 'cause now I have to go down there, and deal with them.","Oh, Satan's minions at work again...",- and there's five hundred extra dollars in my account.,Easy.
"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...","Yeah, but if you spent it, it would be like shopping!","It's not mine, I didn't earn it, if I kept it, it would be like stealing.",What are you talking about? Keep it!,"Yes, 'cause now I have to go down there, and deal with them.","Oh, Satan's minions at work again..."
Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.,We're with you. We got it.,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'...","Yeah, but if you spent it, it would be like shopping!","It's not mine, I didn't earn it, if I kept it, it would be like stealing.",What are you talking about? Keep it!
"Oh, I can't believe you! You've been so good, for three years!","I'm smoking. I'm smoking, I'm smoking.",What is this?!,"Oh! Oh, God!",Hey. Whaddya doing?,"Chandler, what are you doing?"
"Oh, no! I- I can't drink this now!","All right! I'm putting it out, I'm putting it out.",Ohhh! Put it out!,"Okay, so this time I won't quit!","Hold on a second, alright? Just think about what you went through the last time you quit.",And this- is my reward!
"'Dear Ms. Buffay. Thank you for calling attention to our error. We have credited your account with five hundred dollars. We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift.' Do you believe this?! Now I have a thousand dollars, and a football phone!","Hey, Pheebs.","You can come in, but your filter-tipped little buddy has to stay outside!",Chandler? Do you promise to be good?,Yeah! We promise! We'll be good!,Do you all promise?
"Yes, yes! Like the man in the shoe!",Know what was great? The way his smile was kinda crooked.,Yeah.,And did you notice...?,Yeah!,Wait a minute! We're talking about someone that I'm going out with?
"From the nursery rhyme. 'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a... while...'",...What shoe?,"Yes, yes! Like the man in the shoe!",Know what was great? The way his smile was kinda crooked.,Yeah.,And did you notice...?
"Hey, Lizzie.",I personally could have a gallon of Alan.,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.","Well, no. That's impossible. You can never be too Alan.","..I dunno, a little too Alan?",What?
I brought you alphabet soup.,"Hey, Weird Girl.","Hey, Lizzie.",I personally could have a gallon of Alan.,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.","Well, no. That's impossible. You can never be too Alan."
"Yes. But I left in the Ys. 'Cause, y'know, sometimes y. Uh, I also have something else for you.",Did you pick out the vowels?,I brought you alphabet soup.,"Hey, Weird Girl.","Hey, Lizzie.",I personally could have a gallon of Alan.
"No, but would you like a thousand dollars and a football phone?",Saltines?,"Yes. But I left in the Ys. 'Cause, y'know, sometimes y. Uh, I also have something else for you.",Did you pick out the vowels?,I brought you alphabet soup.,"Hey, Weird Girl."
I know.,"What?  Oh my God, there's really money in here.","No, but would you like a thousand dollars and a football phone?",Saltines?,"Yes. But I left in the Ys. 'Cause, y'know, sometimes y. Uh, I also have something else for you.",Did you pick out the vowels?
"No, I want you to have it. I don't want it.","Weird Girl, what are you doing?",I know.,"What?  Oh my God, there's really money in here.","No, but would you like a thousand dollars and a football phone?",Saltines?
"Oh, that's fine, no.","No, no, I ha-I have to give you something.","No, I want you to have it. I don't want it.","Weird Girl, what are you doing?",I know.,"What?  Oh my God, there's really money in here."
"No. 'Cause you need that. No, it's okay, thanks.",Would you like my tin-foil hat?,"Oh, that's fine, no.","No, no, I ha-I have to give you something.","No, I want you to have it. I don't want it.","Weird Girl, what are you doing?"
"Okay, alright, you buy me a soda, and then we're even. Okay?","Please, let me do something.","No. 'Cause you need that. No, it's okay, thanks.",Would you like my tin-foil hat?,"Oh, that's fine, no.","No, no, I ha-I have to give you something."
Okay.,Okay.,"Okay, alright, you buy me a soda, and then we're even. Okay?","Please, let me do something.","No. 'Cause you need that. No, it's okay, thanks.",Would you like my tin-foil hat?
"No, I'm fine.",Keep the change.  Sure you don't wanna pretzel?,Okay.,Okay.,"Okay, alright, you buy me a soda, and then we're even. Okay?","Please, let me do something."
Huh!,See ya.,"No, I'm fine.",Keep the change.  Sure you don't wanna pretzel?,Okay.,Okay.
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Eww!,A thumb?!,Huh!,See ya.,"No, I'm fine."
"Does, um, anyone wanna see?","Well, maybe it's a contest, y'know? Like, collect all five?","I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",Eww!,A thumb?!,Huh!
"Yeah, 'cause otherwise someone might get what they actually ordered.",Indeed there isn't... I should really get back to work.,"You know, there's nothing wrong with speaking correctly.","Oh,  you do, do you?","Oh, now, don't listen to him, Pheebs, I think it's endearing.","Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
Does anyone want the rest of this Pop-Tart?,"Hey Pheebs, you gonna have the rest of that Pop-Tart?.. Pheebs?","Ooh, I'm alive with pleasure now.",There y'go.,Thanks.,I think he's across the hall.
"Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb.","Hey, I might!",Does anyone want the rest of this Pop-Tart?,"Hey Pheebs, you gonna have the rest of that Pop-Tart?.. Pheebs?","Ooh, I'm alive with pleasure now.",There y'go.
"And on my way over here, I stepped in gum. ...What is up with the universe?!",You're kidding. Oh my God.,"Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars for the thumb.","Hey, I might!",Does anyone want the rest of this Pop-Tart?,"Hey Pheebs, you gonna have the rest of that Pop-Tart?.. Pheebs?"
"Wait, wait, I'm getting a deja vu...no, I'm not.","Please, guys, we have to talk.",Oh! That was Lambchop!,Okay..,"Oh, God!","Uh, Joey.."
There it is!,"Alright, we have to talk.","Wait, wait, I'm getting a deja vu...no, I'm not.","Please, guys, we have to talk.",Oh! That was Lambchop!,Okay..
"You know.. you let your guard down, you start to really care about someone, and I just- I-",So that's it? It's over? Just like that?,We didn't change..,"No, nononono.. it's just.. things change. People change.",Is there somebody else?,"Okay. It's-it's about Alan. There's something that you should know. I mean, there's really no easy way to say this.. uh.. I've decided to break up with Alan."
Did he mention us?,"Oh, y'know..",So how'd it go?,Mmm.,Hi.,Yeah. He could row like a viking.
If you never smoke again I'll give you seven thousand dollars!,"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",No no no!,...That's it. I'm getting cigarettes.,"You had a rough day, huh.. c'mere.",He said he's really gonna miss you guys.
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",Alright. Phoebe?,"Yeah, alright.",If you never smoke again I'll give you seven thousand dollars!,"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",No no no!
Oh! What what what! ...Hi.,Would you look at her? She is so peaceful.,I cannot sleep in a public place.,How does she do that?,"You are? Ross, I'm sorry..","Joey, uh- OMnipotent."
I got no sleep last night!,What's going on with you?,"It's okay, y'know, you just nodded off again.",Oh! What what what! ...Hi.,Would you look at her? She is so peaceful.,I cannot sleep in a public place.
"My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!",Why?,I got no sleep last night!,What's going on with you?,"It's okay, y'know, you just nodded off again.",Oh! What what what! ...Hi.
Thanks.,"Well, if you want, you can stay with Rachel and me tonight.","My grandmother has this new boyfriend, and they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to reassure each other that they're having a good time. You have no idea how loud they are!",Why?,I got no sleep last night!,What's going on with you?
"I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.","Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!",You got it.,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?","C'mon, Ross!",I have no idea.
"I worked in a Dairy Queen, why?","Wow, you worked in a mine?","I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.","Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!",You got it.,"Alright, alright, maybe it'll take my mind off it. Do you promise to buy me a big thumb finger?"
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!","We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing. We got some trashy magazines, we got cookie dough, we got Twister...",Okay.,"Weeeell, it's rum, and-",What's that?,"Hey, Rach. How was it with your friends?"
You are just like Jack.,"Monica, what is so amazing? I gave up, like, everything. And for what?",You should feel great about yourself! You're doing this amazing independence thing!,"C'mon, sit. Just sit down, sit.","No, actually I was just saying it looks like we're not sitting together. But now you mention it, there was ice there that night... It was the first frost...",What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
"No, Jack and the Beanstalk.",...Jack from downstairs?,You are just like Jack.,"Monica, what is so amazing? I gave up, like, everything. And for what?",You should feel great about yourself! You're doing this amazing independence thing!,"C'mon, sit. Just sit down, sit."
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..","Ah, the other Jack.","No, Jack and the Beanstalk.",...Jack from downstairs?,You are just like Jack.,"Monica, what is so amazing? I gave up, like, everything. And for what?"
"Oh, see, Jack did love the cow.","Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-","Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..","Ah, the other Jack.","No, Jack and the Beanstalk.",...Jack from downstairs?
Floopy?,"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...","Oh, see, Jack did love the cow.","Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-","Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..","Ah, the other Jack."
"Oh, like that's a word.","So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.",Yeah.,Floopy?,"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...","Oh, see, Jack did love the cow."
"Oh, well... 'cause.... you just... I don't like this question.",...Pheebs?,"Okay, but Monica, what if- what if it doesn't come together?","Oh, like that's a word.","So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.",Yeah.
What?,Phoebe?,Thank God. Food.,Pizza guy!,"No, you were right. I don't have a plan.","I'm so sorry, you guys. I didn't mean to bring you down."
I don't even have a 'pl'.,Do you have a plan?,What?,Phoebe?,Thank God. Food.,Pizza guy!
And-and a power tie?,Was he wearing a stunning blue suit?,"Yeah, that sounds about right.","Wait, was this a-a small mediterranean guy with curiously intelligent good looks?","Yeah. This one goes across the street, I must have given him yours. Oh, bonehead, bonehead!",Wait! Did you say 'G.Stephanopoulos?'
Big Bird's friend.,"Uh, Pheebs? Who's George Snuffalopagus?",Are you nuts?! We've got George Stephanopoulos' pizza!,So you guys want me to take this back?,Oh God.,"No, pretty much just a towel."
"Oh, I wanna see! Lemme see! Lemme see!",I see pizza!,Big Bird's friend.,"Uh, Pheebs? Who's George Snuffalopagus?",Are you nuts?! We've got George Stephanopoulos' pizza!,So you guys want me to take this back?
"Ooh, wait.. wait, I see a woman.","Oh, him, the little guy? Oh, I love him!","White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt?",Hello? Who are we spying on?,"Oh, I wanna see! Lemme see! Lemme see!",I see pizza!
Definitely not his mother.,Please tell me it's his mother.,"Ooh, wait.. wait, I see a woman.","Oh, him, the little guy? Oh, I love him!","White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt?",Hello? Who are we spying on?
"Oh, wait, she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza-","Oh, no...",Definitely not his mother.,Please tell me it's his mother.,"Ooh, wait.. wait, I see a woman.","Oh, him, the little guy? Oh, I love him!"
Shut up!,"Oh please, they're having sex.",Oh. Maybe they're- napping.,Yeah.,Light still out?,"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with?  Ba-!"
